SId,X,Y,Z,PT,A,B,G,OT
0,8.259961,14.85677,-36.8238,4.239997,11.99707,-2.790527,-176.0449,4.239997
0,8.047881,14.62236,-36.36615,4.259997,11.84326,-3.186035,-176.1768,4.259997
0,7.746504,14.29866,-35.69643,4.279997,11.57959,-3.757324,-176.3965,4.279997
0,7.489775,13.98612,-35.07135,4.299997,11.38184,-4.262695,-176.6162,4.299997
0,7.266533,13.66242,-34.49092,4.319997,11.31592,-4.63623,-176.792,4.319997
0,7.076777,13.32756,-33.93281,4.339997,11.35986,-4.921875,-176.9238,4.339997
0,6.898184,12.99269,-33.40819,4.359997,11.40381,-5.185547,-177.0337,4.359997
0,6.741914,12.66899,-32.88358,4.379997,11.40381,-5.427246,-177.0996,4.379997
0,6.596807,12.30064,-32.37012,4.399997,11.31592,-5.668945,-177.1436,4.399997
0,6.462862,11.88765,-31.85666,4.419997,11.16211,-5.866699,-177.1655,4.419997
0,6.340078,11.46349,-31.35436,4.439997,10.94238,-6.064453,-177.1655,4.439997
0,6.206133,11.03933,-30.84091,4.459997,10.65674,-6.28418,-177.1216,4.459997
0,6.049863,10.63749,-30.32745,4.479997,10.34912,-6.547852,-177.0776,4.479997
0,5.904756,10.25798,-29.83632,4.499997,10.0415,-6.811523,-177.0557,4.499997
0,5.748487,9.889629,-29.34519,4.519997,9.799805,-7.03125,-177.0557,4.519997
0,5.480596,9.309199,-28.575,4.539997,9.51416,-7.36084,-177.1875,4.539997
0,5.402461,9.20874,-28.42989,4.559997,9.492188,-7.404785,-177.1875,4.559997
0,5.201543,8.918526,-28.00573,4.579997,9.338379,-7.44873,-177.3633,4.579997
0,5.000625,8.661797,-27.58157,4.599997,9.228516,-7.316895,-177.605,4.599997
0,4.810869,8.41623,-27.17974,4.619997,9.18457,-7.053223,-177.8906,4.619997
0,4.643437,8.170664,-26.78906,4.639997,9.18457,-6.789551,-178.1543,4.639997
0,4.487168,7.93626,-26.42071,4.659997,9.206543,-6.635742,-178.3081,4.659997
0,4.342061,7.735342,-26.07469,4.679996,9.206543,-6.591797,-178.418,4.679996
0,4.152305,7.478613,-25.63937,4.699996,9.18457,-6.635742,-178.5498,4.699996
0,4.063008,7.366992,-25.42728,4.719996,9.162598,-6.635742,-178.6377,4.719996
0,3.940225,7.199561,-25.13707,4.739996,9.140625,-6.657715,-178.7695,4.739996
0,3.817441,7.032129,-24.86918,4.759996,9.118652,-6.61377,-178.9014,4.759996
0,3.694658,6.887022,-24.61245,4.779996,9.052734,-6.503906,-178.9893,4.779996
0,3.605361,6.730752,-24.37805,4.799996,8.964844,-6.28418,-179.0991,4.799996
0,3.527226,6.574482,-24.16597,4.819996,8.85498,-5.976563,-179.209,4.819996
0,3.471416,6.418213,-23.95389,4.839996,8.701172,-5.581055,-179.3188,4.839996
0,3.415606,6.172647,-23.686,4.859996,8.415527,-4.987793,-179.4287,4.859996
0,3.404443,6.061026,-23.56321,4.879996,8.151855,-4.702148,-179.4946,4.879996
0,3.370957,5.860107,-23.38462,4.899996,7.822266,-4.262695,-179.6045,4.899996
0,3.337471,5.659189,-23.21719,4.919996,7.514648,-3.80127,-179.7803,4.919996
0,3.303984,5.458272,-23.07208,4.939996,7.207031,-3.317871,179.9561,4.939996
0,3.248174,5.268516,-22.93814,4.959996,6.899414,-2.834473,179.7144,4.959996
0,3.192363,5.07876,-22.80419,4.979996,6.61377,-2.438965,179.4946,4.979996
0,3.06958,4.822031,-22.61443,4.999996,6.196289,-2.109375,179.187,4.999996
0,3.047256,4.777383,-22.58095,5.019996,6.130371,-2.109375,179.1431,5.019996
0,2.969121,4.6546,-22.49165,5.039996,5.95459,-2.175293,179.0112,5.039996
0,2.902148,4.565303,-22.42468,5.059996,5.822754,-2.307129,178.9014,5.059996
0,2.835176,4.487168,-22.3577,5.079996,5.690918,-2.504883,178.8135,5.079996
0,2.779365,4.409033,-22.31306,5.099996,5.559082,-2.702637,178.7915,5.099996
0,2.745879,4.353223,-22.26841,5.119996,5.471191,-2.900391,178.8135,5.119996
0,2.734717,4.28625,-22.22376,5.139996,5.383301,-3.010254,178.8574,5.139996
0,2.734717,4.219277,-22.16795,5.159996,5.361328,-3.054199,178.9014,5.159996
0,2.745879,4.152305,-22.1233,5.179996,5.339355,-3.010254,178.9673,5.179996
0,2.768203,4.107656,-22.07865,5.199996,5.361328,-2.900391,179.0332,5.199996
0,2.812852,4.051846,-22.034,5.219996,5.383301,-2.768555,179.0771,5.219996
0,2.846338,4.007197,-21.98936,5.239996,5.427246,-2.658691,179.1431,5.239996
0,2.890986,3.973711,-21.95587,5.259996,5.449219,-2.592773,179.1431,5.259996
0,2.924473,3.951387,-21.92238,5.279996,5.449219,-2.636719,179.1431,5.279996
0,2.957959,3.9179,-21.8889,5.299996,5.471191,-2.724609,179.0771,5.299996
0,2.957959,3.9179,-21.8889,5.319996,5.471191,-2.724609,179.0552,5.319996
0,2.969121,3.906738,-21.8889,5.339996,5.493164,-2.702637,179.0112,5.339996
0,2.969121,3.895576,-21.8889,5.359996,5.515137,-2.636719,178.9893,5.359996
0,2.957959,3.884414,-21.8889,5.379996,5.559082,-2.526855,178.9673,5.379996
0,2.946797,3.86209,-21.90006,5.399996,5.581055,-2.373047,178.9453,5.399996
0,2.924473,3.828604,-21.92238,5.419996,5.625,-2.06543,178.9233,5.419996
0,2.868662,3.750469,-21.96703,5.439996,5.690918,-1.428223,178.8574,5.439996
0,2.779365,3.672334,-22.04517,5.459996,5.778809,-0.6811523,178.7476,5.459996
0,2.745879,3.65001,-22.07865,5.479996,5.778809,-0.3955078,178.6816,5.479996
0,2.678906,3.616524,-22.1233,5.499996,5.800781,-0.02197266,178.5938,5.499996
0,2.611934,3.583037,-22.15679,5.519996,5.822754,0.3076172,178.4839,5.519996
0,2.544961,3.571875,-22.19027,5.539996,5.866699,0.637207,178.374,5.539996
0,2.455664,3.560713,-22.2126,5.559996,5.976563,0.9667969,178.2861,5.559996
0,2.366367,3.571875,-22.22376,5.579996,6.086426,1.274414,178.1982,5.579996
