SId,X,Y,Z,PT,A,B,G,OT
0,5.313164,0.3237012,-38.26371,2.259999,29.90479,61.41357,174.3311,2.259999
0,5.324326,0.100459,-37.91769,2.279999,29.42139,60.9082,174.2651,2.279999
0,5.346651,-0.1451074,-37.59398,2.299999,29.06982,60.62256,174.2432,2.299999
0,5.357812,-0.3906738,-37.25912,2.319999,28.80615,60.49072,174.1992,2.319999
0,5.346651,-0.6362402,-36.94658,2.339998,28.52051,60.4248,174.1113,2.339998
0,5.313164,-0.8706445,-36.64521,2.359998,28.16895,60.35889,173.9355,2.359998
0,5.279678,-1.138535,-36.34383,2.379998,27.77344,60.20508,173.6938,2.379998
0,5.190381,-1.506885,-35.94199,2.399998,27.22412,59.89746,173.2983,2.399998
0,5.112246,-1.774775,-35.65178,2.419998,26.82861,59.56787,173.0127,2.419998
0,5.067598,-1.953369,-35.47318,2.439998,26.58691,59.37012,172.8589,2.439998
0,5.000625,-2.210098,-35.23878,2.459998,26.23535,59.15039,172.7051,2.459998
0,4.967139,-2.466826,-35.01554,2.479998,25.88379,59.08447,172.5952,2.479998
0,4.967139,-2.712393,-34.82578,2.499998,25.51025,59.10645,172.5293,2.499998
0,4.967139,-2.946797,-34.65835,2.519998,25.13672,59.17236,172.5952,2.519998
0,4.967139,-3.125391,-34.5244,2.539998,24.78516,59.17236,172.7271,2.539998
0,4.978301,-3.248174,-34.40162,2.559998,24.54346,59.08447,172.9028,2.559998
0,5.011787,-3.337471,-34.30116,2.579998,24.41162,58.95264,173.0347,2.579998
0,5.056436,-3.404443,-34.21186,2.599998,24.38965,58.8208,173.1445,2.599998
0,5.089922,-3.43793,-34.14489,2.619998,24.38965,58.75488,173.2324,2.619998
0,5.101084,-3.460254,-34.07792,2.639998,24.38965,58.75488,173.2983,2.639998
0,5.112246,-3.471416,-34.02211,2.659998,24.38965,58.77686,173.3423,2.659998
0,5.112246,-3.482578,-33.97746,2.679998,24.36768,58.77686,173.3423,2.679998
0,5.101084,-3.527226,-33.91049,2.699998,24.38965,58.66699,173.2544,2.699998
0,5.089922,-3.538389,-33.89933,2.719998,24.38965,58.64502,173.2544,2.719998
0,5.067598,-3.560713,-33.86584,2.739998,24.41162,58.53516,173.1885,2.739998
0,5.034111,-3.571875,-33.83235,2.759998,24.41162,58.44727,173.1445,2.759998
0,5.022949,-3.571875,-33.81003,2.779998,24.43359,58.3374,173.1006,2.779998
0,5.011787,-3.571875,-33.76538,2.799998,24.43359,58.22754,173.0347,2.799998
0,5.000625,-3.571875,-33.74306,2.819998,24.43359,58.18359,173.0566,2.819998
0,4.989463,-3.560713,-33.7319,2.839998,24.43359,58.13965,173.0786,2.839998
0,4.978301,-3.560713,-33.7319,2.859998,24.41162,58.0957,173.1006,2.859998
0,4.978301,-3.560713,-33.72073,2.879998,24.38965,58.07373,173.1226,2.879998
0,4.978301,-3.560713,-33.72073,2.899998,24.3457,58.02979,173.1445,2.899998
0,4.989463,-3.560713,-33.72073,2.919998,24.32373,58.00781,173.1665,2.919998
0,5.000625,-3.560713,-33.70957,2.939998,24.27979,57.96387,173.1885,2.939998
0,5.011787,-3.560713,-33.70957,2.959998,24.23584,57.89795,173.2324,2.959998
0,5.022949,-3.549551,-33.70957,2.979998,24.14795,57.81006,173.2544,2.979998
0,5.067598,-3.527226,-33.69841,2.999998,23.97217,57.54639,173.2983,2.999998
0,5.067598,-3.527226,-33.69841,3.019998,23.92822,57.48047,173.2983,3.019998
0,5.07876,-3.527226,-33.68724,3.039998,23.81836,57.30469,173.3423,3.039998
0,5.089922,-3.516064,-33.67608,3.059998,23.64258,56.99707,173.3643,3.059998
0,5.101084,-3.516064,-33.66492,3.079998,23.44482,56.55762,173.3862,3.079998
0,5.13457,-3.504902,-33.6426,3.099998,23.26904,56.0083,173.3862,3.099998
0,5.156895,-3.49374,-33.63144,3.119998,23.11523,55.48096,173.3862,3.119998
0,5.168056,-3.471416,-33.60911,3.139998,22.9834,55.0415,173.4082,3.139998
0,5.179219,-3.460254,-33.60911,3.159998,22.87354,54.73389,173.3862,3.159998
0,5.201543,-3.449092,-33.58679,3.179998,22.82959,54.58008,173.3643,3.179998
0,5.212705,-3.449092,-33.57563,3.199998,22.85156,54.62402,173.2983,3.199998
0,5.212705,-3.449092,-33.56446,3.219998,22.89551,54.7998,173.2764,3.219998
0,5.201543,-3.449092,-33.5533,3.239998,22.89551,54.95361,173.2764,3.239998
0,5.179219,-3.43793,-33.54214,3.259998,22.93945,55.94238,173.2324,3.259998
0,5.07876,-3.382119,-33.49749,3.279998,22.87354,61.12793,173.1445,3.279998
0,5.101084,-3.270498,-33.68724,3.299998,22.23633,66.11572,172.9907,3.299998
0,5.179219,-2.991445,-34.18954,3.319998,20.83008,74.37744,172.793,3.319998
0,5.279678,-2.64542,-34.83694,3.339998,19.07227,87.60498,172.4194,3.339998
0,5.335488,-2.544961,-35.06018,3.359998,18.39111,104.5239,171.7603,3.359998
0,5.324326,-2.824014,-34.6137,3.379997,19.40186,120.6958,170.9033,3.379997
0,5.29084,-3.203525,-33.98862,3.399997,21.00586,133.0225,170.0464,3.399997
0,5.268516,-3.449092,-33.60911,3.419997,22.03857,141.6797,169.3872,3.419997
0,5.257353,-3.516064,-33.48633,3.439997,22.36816,148.3154,168.9258,3.439997
0,5.279678,-3.449092,-33.49749,3.459997,22.14844,156.731,168.3545,3.459997
0,5.246192,-3.404443,-33.56446,3.479997,22.03857,161.6089,168.2666,3.479997
0,5.246192,-3.393281,-33.59795,3.499997,22.06055,169.519,167.8711,3.499997
0,5.235029,-3.471416,-33.49749,3.519997,22.54395,177.0337,167.3877,3.519997
0,5.223867,-3.594199,-33.33006,3.539997,23.15918,-178.1104,166.9263,3.539997
0,5.235029,-3.605361,-33.3189,3.559997,23.15918,-177.8467,166.6626,3.559997
0,5.257353,-3.482578,-33.54214,3.579997,22.34619,177.2754,166.6626,3.579997
0,5.257353,-3.370957,-33.7319,3.599997,21.48926,168.6182,166.8384,3.599997
0,5.257353,-3.393281,-33.68724,3.619997,21.2915,159.0381,167.0361,3.619997
0,5.235029,-3.49374,-33.50865,3.639997,21.62109,150.0073,167.1899,3.639997
0,5.212705,-3.560713,-33.37471,3.659997,22.0166,142.7124,167.3438,3.659997
0,5.201543,-3.594199,-33.30774,3.679997,22.34619,136.3623,167.4976,3.679997
0,5.212705,-3.594199,-33.28541,3.699997,22.63184,130.3198,167.6733,3.699997
0,5.223867,-3.605361,-33.27425,3.719997,22.85156,124.1895,167.915,3.719997
0,5.235029,-3.583037,-33.29657,3.739997,22.96143,117.6636,168.2886,3.739997
0,5.223867,-3.504902,-33.40819,3.759997,22.76367,105.0513,169.1675,3.759997
0,5.235029,-3.482578,-33.464,3.779997,22.7417,102.1289,169.2993,3.779997
0,5.235029,-3.449092,-33.50865,3.799997,22.7417,93.09814,169.8486,3.799997
0,5.235029,-3.482578,-33.44168,3.819997,23.11523,84.1333,170.354,3.819997
0,5.223867,-3.583037,-33.30774,3.839997,23.75244,76.20117,170.7275,3.839997
0,5.212705,-3.661172,-33.18495,3.859997,24.41162,69.69727,170.9253,3.859997
0,5.223867,-3.716982,-33.09565,3.879997,24.93896,64.4458,170.9912,3.879997
0,5.223867,-3.750469,-33.03984,3.899997,25.40039,59.96338,170.9912,3.899997
0,5.235029,-3.783955,-33.00636,3.919997,25.92773,54.47021,170.9253,3.919997
0,5.235029,-3.783955,-33.00636,3.939997,26.19141,51.81152,170.9033,3.939997
0,5.246192,-3.772793,-33.00636,3.959997,26.49902,47.8125,170.8594,3.959997
0,5.257353,-3.750469,-33.00636,3.979997,26.80664,43.87939,170.8154,3.979997
0,5.279678,-3.739307,-32.99519,3.999997,27.11426,40.20996,170.7275,3.999997
0,5.302002,-3.728145,-32.97287,4.019997,27.42188,36.89209,170.6616,4.019997
0,5.313164,-3.739307,-32.95055,4.039997,27.66357,34.05762,170.6177,4.039997
0,5.313164,-3.739307,-32.92822,4.059997,27.83936,31.81641,170.6396,4.059997
0,5.313164,-3.739307,-32.91706,4.079997,27.92725,30.32227,170.6836,4.079997
0,5.324326,-3.739307,-32.91706,4.099997,27.92725,29.90479,170.7935,4.099997
0,5.346651,-3.716982,-32.95055,4.119997,27.77344,30.9375,170.9253,4.119997
0,5.368975,-3.672334,-33.00636,4.139997,27.44385,33.68408,171.123,4.139997
0,5.402461,-3.65001,-33.03984,4.159997,27.24609,35.52979,171.167,4.159997
0,5.424785,-3.571875,-33.11798,4.179997,26.74072,39.88037,171.3208,4.179997
0,5.480596,-3.471416,-33.19611,4.199997,25.83984,49.8999,171.4526,4.199997
0,5.581055,-3.315146,-33.36354,4.219997,24.60938,59.91943,171.167,4.219997
0,5.558731,-3.214688,-33.5533,4.239997,23.8623,66.33545,171.3208,4.239997
0,5.603379,-3.06958,-33.7877,4.259997,22.7417,77.51953,171.1011,4.259997
0,5.636865,-3.06958,-33.7877,4.279997,22.28027,89.71436,170.6616,4.279997
0,5.659189,-3.214688,-33.5533,4.299997,22.63184,100.7227,170.0684,4.299997
