SId,X,Y,Z,PT,A,B,G,OT
3,-42.36021,20.49363,-68.55768,0.02,8.789063,4.592285,144.4263,0.02
3,-42.43834,20.3262,-68.46838,0.04,8.701172,4.460449,144.6021,0.04
3,-44.49217,23.01627,-72.01793,0.06,13.11768,4.174805,138.9771,0.06
3,-44.49217,23.01627,-72.01793,0.08,13.11768,4.174805,138.9771,0.08
3,-44.49217,23.01627,-72.01793,0.09999999,13.11768,4.174805,138.9771,0.09999999
3,-44.49217,23.01627,-72.01793,0.12,13.11768,4.174805,138.9771,0.12
3,-44.49217,23.01627,-72.01793,0.14,13.11768,4.174805,138.9771,0.14
3,-44.49217,23.01627,-72.01793,0.16,13.11768,4.174805,138.9771,0.16
3,-44.49217,22.89349,-72.4086,0.18,13.53516,3.735352,138.0981,0.18
3,-44.49217,22.89349,-72.4086,0.2,13.53516,3.735352,138.0981,0.2
3,-44.49217,22.89349,-72.4086,0.22,13.53516,3.735352,138.0981,0.22
3,-44.49217,22.89349,-72.4086,0.24,13.53516,3.735352,138.0981,0.24
3,-44.49217,22.89349,-72.4086,0.26,13.53516,3.735352,138.0981,0.26
3,-44.49217,22.89349,-72.4086,0.28,13.53516,3.735352,138.0981,0.28
3,-44.49217,22.89349,-72.4086,0.3,13.53516,3.735352,138.0981,0.3
3,-44.49217,22.89349,-72.4086,0.32,13.53516,3.735352,138.0981,0.32
3,-44.49217,22.89349,-72.4086,0.34,13.53516,3.735352,138.0981,0.34
3,-44.49217,22.89349,-72.4086,0.36,13.53516,3.735352,138.0981,0.36
3,-45.4856,22.74838,-73.56947,0.38,14.94141,1.450195,134.9341,0.38
3,-45.4856,22.74838,-73.56947,0.4,14.94141,1.450195,134.9341,0.4
3,-45.75349,23.273,-73.93781,0.42,15.22705,1.032715,133.7036,0.42
3,-45.76465,23.81994,-74.36197,0.4400001,15.55664,0.8129883,132.3853,0.4400001
3,-45.46327,24.45618,-75.16564,0.4600001,16.34766,0.6591797,130.4077,0.4600001
3,-45.42979,24.63478,-75.77956,0.4800001,17.40234,0.2856445,129.1113,0.4800001
3,-45.75349,24.66826,-76.13675,0.5000001,18.479,-0.2636719,128.5181,0.5000001
3,-45.93208,24.77988,-76.44929,0.52,19.42383,-0.8129883,128.0566,0.52
3,-45.51908,24.70175,-76.78415,0.54,20.1709,-1.384277,127.2656,0.54
