SId,X,Y,Z,PT,A,B,G,OT
2,-3.951387,33.51981,-63.64635,0.02,17.16064,-36.84814,116.4551,0.02
2,-3.839766,33.50865,-63.6017,0.04,17.38037,-36.84814,116.1255,0.04
2,-3.772793,33.67608,-63.81378,0.06,16.80908,-39.06738,113.7524,0.06
2,-3.750469,33.66492,-63.83611,0.08,16.80908,-39.06738,113.6865,0.08
2,-3.750469,33.66492,-63.83611,0.09999999,16.80908,-39.06738,113.6865,0.09999999
2,-3.750469,33.66492,-63.83611,0.12,16.80908,-39.06738,113.6865,0.12
2,-3.750469,33.66492,-63.83611,0.14,16.80908,-39.06738,113.6865,0.14
2,-3.750469,33.66492,-63.83611,0.16,16.80908,-39.06738,113.6865,0.16
2,-3.750469,33.66492,-63.83611,0.18,16.80908,-39.06738,113.6865,0.18
2,-3.70582,33.65376,-63.85843,0.2,16.80908,-39.06738,113.6206,0.2
2,-3.70582,33.65376,-63.85843,0.22,16.80908,-39.06738,113.6206,0.22
2,-3.70582,33.65376,-63.85843,0.24,16.80908,-39.06738,113.6206,0.24
2,-3.70582,33.65376,-63.85843,0.26,16.80908,-39.06738,113.6206,0.26
2,-3.70582,33.65376,-63.85843,0.28,16.80908,-39.06738,113.6206,0.28
2,-3.70582,33.65376,-63.85843,0.3,16.80908,-39.06738,113.6206,0.3
2,-3.70582,33.65376,-63.85843,0.32,16.80908,-39.06738,113.6206,0.32
2,-3.70582,33.65376,-63.85843,0.34,16.80908,-39.06738,113.6206,0.34
2,-3.672334,33.6426,-63.88075,0.36,16.80908,-39.08936,113.5547,0.36
2,-3.571875,33.59795,-63.98121,0.38,16.80908,-39.19922,113.4009,0.38
2,-3.571875,33.59795,-63.98121,0.4,16.80908,-39.19922,113.4009,0.4
2,-3.583037,33.63144,-64.03702,0.42,16.74316,-39.19922,113.4009,0.42
2,-3.583037,33.63144,-64.03702,0.4400001,16.74316,-39.19922,113.4009,0.4400001
2,-3.594199,33.67608,-64.03702,0.4600001,16.69922,-39.11133,113.4009,0.4600001
2,-3.571875,33.70957,-64.03702,0.4800001,16.69922,-39.02344,113.335,0.4800001
2,-3.538389,33.68724,-64.05935,0.5000001,16.78711,-38.97949,113.269,0.5000001
2,-3.571875,33.6426,-64.12632,0.52,16.85303,-38.97949,113.2471,0.52
2,-3.661172,33.68724,-64.14864,0.54,16.85303,-38.86963,113.291,0.54
2,-3.716982,33.877,-64.08167,0.56,16.76514,-38.54004,113.313,0.56
2,-3.605361,33.86584,-64.08167,0.58,16.875,-38.25439,113.0273,0.58
2,-3.605361,33.86584,-64.08167,0.6,16.875,-38.25439,113.0273,0.6
2,-3.616524,33.84352,-64.09283,0.6199999,16.875,-38.27637,113.0493,0.6199999
2,-3.616524,33.84352,-64.09283,0.6399999,16.875,-38.27637,113.0493,0.6399999
2,-3.627686,33.82119,-64.08167,0.6599999,16.875,-38.23242,113.0713,0.6599999
2,-3.627686,33.79887,-64.07051,0.6799999,16.89697,-38.21045,113.0713,0.6799999
2,-3.638848,33.74306,-64.04819,0.6999999,16.91895,-38.1665,113.1152,0.6999999
2,-3.728145,33.69841,-64.02586,0.7199998,16.91895,-38.1665,113.2471,0.7199998
2,-3.884414,33.70957,-64.01469,0.7399998,16.83105,-38.14453,113.4229,0.7399998
2,-3.996035,33.76538,-64.00353,0.7599998,16.76514,-38.05664,113.5327,0.7599998
2,-3.984873,33.79887,-63.98121,0.7799998,16.80908,-37.96875,113.4888,0.7799998
2,-3.906738,33.75422,-63.97005,0.7999998,16.91895,-37.96875,113.3789,0.7999998
2,-3.828604,33.68724,-63.97005,0.8199998,16.98486,-37.99072,113.2471,0.8199998
2,-3.783955,33.66492,-63.97005,0.8399997,17.00684,-37.96875,113.1372,0.8399997
2,-3.728145,33.70957,-63.97005,0.8599997,17.00684,-37.79297,112.9614,0.8599997
2,-3.638848,33.7877,-64.00353,0.8799997,17.18262,-37.39746,112.6538,0.8799997
2,-3.638848,33.76538,-64.04819,0.8999997,17.3584,-37.26563,112.5439,0.8999997
2,-3.795117,33.68724,-64.09283,0.9199997,17.57813,-37.24365,112.6099,0.9199997
2,-4.007197,33.70957,-64.08167,0.9399996,17.66602,-37.2876,112.8076,0.9399996
2,-4.085332,33.79887,-64.04819,0.9599996,17.77588,-37.24365,112.8735,0.9599996
2,-4.007197,33.85468,-64.03702,0.9799996,17.95166,-37.22168,112.7637,0.9799996
2,-3.9179,33.83235,-64.04819,0.9999996,18.14941,-37.2876,112.6318,0.9999996
2,-3.884414,33.76538,-64.05935,1.02,18.28125,-37.44141,112.5659,1.02
2,-3.895576,33.7319,-64.05935,1.04,18.30322,-37.59521,112.5439,1.04
2,-3.86209,33.75422,-64.04819,1.06,18.3252,-37.68311,112.4561,1.06
2,-3.739307,33.82119,-64.00353,1.08,18.36914,-37.70508,112.2583,1.08
2,-3.549551,33.91049,-63.95889,1.1,18.479,-37.771,111.9946,1.1
2,-3.404443,33.9663,-63.93656,1.12,18.63281,-37.96875,111.731,1.12
2,-3.370957,33.97746,-64.00353,1.14,18.7207,-38.29834,111.4673,1.14
2,-3.315146,33.98862,-64.11516,1.159999,18.87451,-38.60596,111.0938,1.159999
2,-3.091904,33.877,-64.36073,1.179999,19.40186,-39.11133,110.3247,1.179999
2,-3.058418,33.83235,-64.41653,1.199999,19.51172,-39.24316,110.2148,1.199999
2,-3.06958,33.72073,-64.58396,1.219999,19.75342,-39.70459,109.9951,1.219999
2,-3.237012,33.74306,-64.71791,1.239999,19.75342,-40.16602,109.9292,1.239999
2,-3.460254,33.98862,-64.76256,1.259999,19.51172,-40.53955,109.9072,1.259999
2,-3.538389,34.33465,-64.62862,1.279999,19.27002,-40.69336,109.7534,1.279999
2,-3.471416,34.53557,-64.34956,1.299999,19.24805,-40.86914,109.5996,1.299999
2,-3.549551,34.45743,-64.09283,1.319999,19.27002,-41.28662,109.7095,1.319999
2,-3.951387,34.25652,-64.01469,1.339999,19.11621,-41.98975,110.0171,1.339999
2,-4.085332,34.22303,-64.05935,1.359999,19.05029,-42.1875,110.0391,1.359999
2,-4.063008,34.22303,-64.17097,1.379999,19.09424,-42.34131,109.8633,1.379999
2,-3.884414,34.22303,-64.26026,1.399999,19.27002,-42.45117,109.5776,1.399999
2,-3.70582,34.21186,-64.3384,1.419999,19.4458,-42.71484,109.292,1.419999
2,-3.65001,34.21186,-64.45002,1.439999,19.57764,-43.19824,109.0503,1.439999
2,-3.772793,34.23419,-64.59512,1.459999,19.57764,-43.85742,108.7866,1.459999
2,-3.86209,34.17838,-64.71791,1.479999,19.66553,-44.45068,108.5229,1.479999
2,-3.828604,34.0556,-64.72907,1.499999,19.84131,-44.84619,108.3032,1.499999
2,-3.839766,33.95514,-64.6621,1.519999,19.95117,-45.06592,108.3032,1.519999
2,-3.9179,33.95514,-64.5728,1.539999,19.90723,-45.15381,108.4131,1.539999
2,-3.973711,34.01095,-64.53931,1.559999,19.84131,-45.08789,108.457,1.559999
2,-3.9179,34.04443,-64.5728,1.579999,19.84131,-45,108.3691,1.579999
2,-3.850928,34.03327,-64.60629,1.599999,19.88525,-44.95605,108.2813,1.599999
2,-3.806279,33.99979,-64.65094,1.619999,19.9292,-44.93408,108.2373,1.619999
2,-3.761631,33.97746,-64.70675,1.639999,19.99512,-44.67041,108.2593,1.639999
2,-3.761631,34.01095,-64.71791,1.659999,20.01709,-44.45068,108.3032,1.659999
2,-3.627686,34.2007,-64.71791,1.679999,20.23682,-43.6377,108.479,1.679999
2,-3.303984,34.32349,-64.69559,1.699999,20.78613,-42.75879,108.5889,1.699999
2,-3.080742,34.25652,-64.62862,1.719999,21.37939,-42.27539,108.8306,1.719999
2,-3.158877,34.2007,-64.53931,1.739999,21.59912,-42.05566,109.27,1.739999
2,-3.348633,34.26768,-64.49467,1.759999,21.5332,-41.87988,109.6875,1.759999
2,-3.471416,34.36813,-64.53931,1.779999,21.48926,-41.68213,109.9072,1.779999
2,-3.516064,34.41278,-64.65094,1.799999,21.57715,-41.55029,109.9951,1.799999
2,-3.538389,34.40162,-64.79604,1.819999,21.7749,-41.39648,110.1929,1.819999
2,-3.594199,34.43511,-64.88535,1.839999,21.97266,-40.93506,110.5884,1.839999
2,-3.627686,34.68068,-64.79604,1.859999,22.03857,-39.74854,111.2036,1.859999
2,-3.49374,34.97089,-64.56164,1.879999,22.14844,-37.90283,111.7749,1.879999
2,-3.337471,34.80346,-64.46118,1.899999,22.60986,-36.67236,112.1704,1.899999
2,-3.482578,34.2007,-64.60629,1.919999,23.18115,-36.54053,112.6758,1.919999
2,-4.07417,33.76538,-64.7514,1.939999,23.2251,-36.29883,113.7305,1.939999
2,-4.129981,33.81003,-64.7514,1.959999,23.11523,-36.05713,113.8623,1.959999
2,-4.07417,34.07792,-64.65094,1.979999,22.78564,-35.09033,113.9722,1.979999
2,-3.839766,34.30116,-64.51699,1.999999,22.5,-34.07959,113.8623,1.999999
2,-3.70582,34.41278,-64.36073,2.019999,22.30225,-33.24463,113.9282,2.019999
2,-3.772793,34.54673,-64.19329,2.039999,22.08252,-32.56348,114.2798,2.039999
2,-3.817441,34.80346,-64.02586,2.059999,21.86279,-31.83838,114.6753,2.059999
2,-3.638848,35.09367,-63.82494,2.079999,21.73096,-30.95947,114.895,2.079999
2,-2.957959,35.3504,-63.49008,2.099999,21.79688,-29.77295,114.9609,2.099999
2,-2.544961,35.41737,-63.28916,2.119999,21.84082,-29.28955,115.0708,2.119999
2,-2.109639,35.56248,-62.94313,2.139999,21.7749,-28.76221,115.5542,2.139999
2,-1.942207,35.8527,-62.55246,2.159999,21.51123,-28.19092,116.4771,2.159999
2,-1.7971,36.16523,-62.15062,2.179999,21.40137,-27.33398,117.5977,2.179999
2,-1.462236,36.26569,-61.77111,2.199999,21.70898,-25.99365,118.7622,2.199999
2,-0.9822657,36.20988,-61.38044,2.219999,22.34619,-23.79639,120.0586,2.219999
2,-0.5022949,36.29918,-60.88931,2.239999,22.85156,-20.1709,121.4429,2.239999
2,0.4353223,37.02472,-60.20842,2.259999,22.91748,-13.00781,122.6074,2.259999
2,1.573857,37.63863,-59.9182,2.279999,22.93945,-7.250977,122.5415,2.279999
2,2.611934,37.94001,-59.92937,2.299999,23.02734,-2.197266,122.4316,2.299999
2,3.22585,38.06279,-60.08564,2.319999,22.89551,2.988281,122.6953,2.319999
2,3.303984,38.1186,-60.15261,2.339998,22.47803,8.964844,123.3765,2.339998
2,3.203525,38.06279,-60.07447,2.359998,22.17041,15.73242,124.0137,2.359998
2,3.292822,37.73909,-59.97401,2.379998,22.34619,22.19238,124.1675,2.379998
2,3.728145,37.27028,-60.05215,2.399998,23.07129,28.56445,123.8599,2.399998
2,3.750469,37.04704,-60.07447,2.419998,23.18115,30.25635,123.8379,2.419998
2,3.739307,37.09169,-60.34236,2.439998,23.15918,31.83838,123.8159,2.439998
2,3.694658,37.34842,-60.61025,2.459998,22.78564,32.3877,123.5962,2.459998
2,3.86209,37.59398,-60.75536,2.479998,22.28027,32.32178,122.8711,2.479998
2,4.163467,37.58282,-60.7442,2.499998,21.86279,31.86035,122.0361,2.499998
2,4.241601,37.43771,-60.66607,2.519998,21.5332,31.35498,121.7065,2.519998
2,4.063008,37.4712,-60.55444,2.539998,21.15967,31.00342,121.8164,2.539998
