SId,X,Y,Z,PT,A,B,G,OT
0,-11.45232,8.371582,-57.40673,0.02,48.14209,-130.5396,124.9146,0.02
0,-11.58627,8.282285,-57.39557,0.04,48.09814,-130.6714,124.9805,0.04
0,-11.69789,8.41623,-57.40673,0.06,47.63672,-130.166,125.4419,0.06
0,-11.69789,8.41623,-57.40673,0.08,47.63672,-130.166,125.4419,0.08
0,-11.69789,8.41623,-57.40673,0.09999999,47.63672,-130.166,125.4419,0.09999999
0,-11.69789,8.41623,-57.40673,0.12,47.63672,-130.166,125.4419,0.12
0,-11.69789,8.41623,-57.40673,0.14,47.63672,-130.188,125.4199,0.14
0,-11.69789,8.41623,-57.40673,0.16,47.63672,-130.188,125.4199,0.16
0,-11.69789,8.41623,-57.40673,0.18,47.63672,-130.188,125.4199,0.18
0,-11.69789,8.41623,-57.40673,0.2,47.63672,-130.188,125.4199,0.2
0,-11.69789,8.41623,-57.40673,0.22,47.63672,-130.188,125.4199,0.22
0,-11.69789,8.41623,-57.40673,0.24,47.63672,-130.188,125.4199,0.24
0,-11.69789,8.41623,-57.40673,0.26,47.63672,-130.188,125.4199,0.26
0,-11.69789,8.41623,-57.40673,0.28,47.63672,-130.188,125.4199,0.28
0,-11.69789,8.41623,-57.40673,0.3,47.63672,-130.188,125.4199,0.3
0,-11.69789,8.41623,-57.40673,0.32,47.63672,-130.188,125.4199,0.32
0,-11.69789,8.41623,-57.40673,0.34,47.63672,-130.188,125.4199,0.34
0,-11.69789,8.41623,-57.40673,0.36,47.63672,-130.188,125.4199,0.36
0,-11.67557,8.393907,-57.41789,0.38,47.61475,-130.2319,125.332,0.38
0,-11.67557,8.393907,-57.41789,0.4,47.61475,-130.2319,125.332,0.4
0,-11.68673,8.382744,-57.41789,0.42,47.61475,-130.2539,125.332,0.42
0,-11.68673,8.371582,-57.40673,0.4400001,47.61475,-130.2759,125.332,0.4400001
0,-11.68673,8.371582,-57.40673,0.4600001,47.61475,-130.2759,125.332,0.4600001
0,-11.68673,8.36042,-57.39557,0.4800001,47.61475,-130.2759,125.3101,0.4800001
0,-11.67557,8.349257,-57.39557,0.5000001,47.61475,-130.3198,125.2881,0.5000001
0,-11.68673,8.338096,-57.39557,0.52,47.59277,-130.3638,125.2881,0.52
0,-11.70905,8.326934,-57.3844,0.54,47.5708,-130.3638,125.332,0.54
0,-11.73138,8.349257,-57.3844,0.56,47.54883,-130.3198,125.3979,0.56
0,-11.73138,8.371582,-57.3844,0.58,47.52686,-130.2759,125.4419,0.58
0,-11.73138,8.393907,-57.39557,0.6,47.52686,-130.188,125.5078,0.6
0,-11.73138,8.405068,-57.40673,0.6199999,47.52686,-130.144,125.5518,0.6199999
0,-11.74254,8.405068,-57.41789,0.6399999,47.52686,-130.1221,125.5957,0.6399999
0,-11.76486,8.41623,-57.42905,0.6599999,47.52686,-130.1001,125.6396,0.6599999
0,-11.76486,8.41623,-57.44022,0.6799999,47.50488,-130.0781,125.6616,0.6799999
0,-11.7537,8.405068,-57.44022,0.6999999,47.50488,-130.1001,125.6177,0.6999999
0,-11.74254,8.393907,-57.44022,0.7199998,47.50488,-130.1221,125.5737,0.7199998
0,-11.74254,8.393907,-57.44022,0.7399998,47.50488,-130.1221,125.5737,0.7399998
0,-11.74254,8.393907,-57.44022,0.7599998,47.52686,-130.1221,125.5957,0.7599998
0,-11.74254,8.393907,-57.44022,0.7799998,47.52686,-130.1221,125.6177,0.7799998
0,-11.7537,8.382744,-57.44022,0.7999998,47.54883,-130.1221,125.6396,0.7999998
0,-11.7537,8.382744,-57.44022,0.8199998,47.54883,-130.144,125.6396,0.8199998
0,-11.74254,8.382744,-57.42905,0.8399997,47.5708,-130.144,125.6396,0.8399997
0,-11.72021,8.382744,-57.41789,0.8599997,47.5708,-130.166,125.6396,0.8599997
0,-11.64208,8.405068,-57.36208,0.8799997,47.70264,-130.3638,125.6396,0.8799997
0,-11.47465,8.483203,-57.27278,0.8999997,48.03223,-130.5835,125.7495,0.8999997
0,-11.26257,8.639473,-57.18349,0.9199997,48.44971,-130.6274,125.9692,0.9199997
0,-11.09514,8.818067,-57.07187,0.9399996,48.7793,-130.5396,126.2109,0.9399996
0,-11.00584,8.963174,-56.96024,0.9599996,49.08691,-130.5615,126.4307,0.9599996
0,-10.93887,9.108281,-56.84862,0.9799996,49.39453,-130.6494,126.7163,0.9799996
0,-10.86073,9.309199,-56.74817,0.9999996,49.70215,-130.6714,127.002,0.9999996
0,-10.68214,9.621738,-56.65887,1.02,50.09766,-130.6494,127.2437,1.02
0,-10.58168,9.778008,-56.63654,1.04,50.31738,-130.6494,127.3096,1.04
0,-10.42541,10.00125,-56.62538,1.06,50.69092,-130.7373,127.3755,1.06
0,-10.29146,10.16868,-56.62538,1.08,51.04248,-130.957,127.3535,1.08
0,-10.1352,10.2803,-56.64771,1.1,51.28418,-131.2427,127.2217,1.1
0,-9.978926,10.35844,-56.68119,1.12,51.48193,-131.4624,127.0239,1.12
0,-9.867305,10.42541,-56.71468,1.14,51.65771,-131.6162,126.8481,1.14
0,-9.800332,10.47006,-56.75933,1.159999,51.81152,-131.8359,126.6504,1.159999
0,-9.800332,10.4589,-56.85979,1.179999,52.00928,-132.4951,126.167,1.179999
0,-9.856143,10.40309,-56.93792,1.199999,52.11914,-133.0005,125.8374,1.199999
0,-10.06822,10.30263,-57.0607,1.219999,52.27295,-133.8794,125.3101,1.219999
0,-10.3696,10.25798,-57.17233,1.239999,52.36084,-134.7363,124.8047,1.239999
0,-10.62633,10.30263,-57.29511,1.259999,52.40479,-135.3955,124.2334,1.259999
0,-10.74911,10.38076,-57.42905,1.279999,52.40479,-135.9009,123.5522,1.279999
0,-10.83841,10.44773,-57.55183,1.299999,52.36084,-136.4063,122.915,1.299999
0,-10.96119,10.47006,-57.62997,1.319999,52.25098,-136.8237,122.4976,1.319999
0,-11.05049,10.50354,-57.66346,1.339999,52.16309,-136.9995,122.2778,1.339999
0,-11.03933,10.53703,-57.68578,1.359999,52.09717,-136.9995,122.0581,1.359999
0,-10.96119,10.53703,-57.74159,1.379999,52.09717,-136.9995,121.7725,1.379999
0,-10.88306,10.49238,-57.78624,1.399999,52.11914,-137.0654,121.4648,1.399999
0,-10.86073,10.39192,-57.80856,1.419999,52.16309,-137.2412,121.1792,1.419999
0,-10.91654,10.29146,-57.80856,1.439999,52.16309,-137.417,120.9814,1.439999
0,-10.98352,10.21333,-57.80856,1.459999,52.14111,-137.5708,120.8716,1.459999
