SId,X,Y,Z,PT,A,B,G,OT
1,3.315146,15.82787,-70.51105,0.02,19.35791,29.28955,-136.4282,0.02
1,3.728145,15.68276,-71.30356,0.04,23.20313,26.58691,-137.5269,0.04
1,3.627686,15.63811,-70.92404,0.06,25.40039,27.07031,-134.9121,0.06
1,3.627686,15.63811,-70.92404,0.08,25.40039,27.07031,-134.9121,0.08
1,3.627686,15.63811,-70.92404,0.09999999,25.40039,27.07031,-134.9121,0.09999999
1,3.616524,15.62695,-70.89056,0.12,25.37842,27.02637,-134.9121,0.12
1,3.616524,15.62695,-70.89056,0.14,25.37842,27.02637,-134.9121,0.14
1,3.616524,15.62695,-70.89056,0.16,25.37842,27.02637,-134.9121,0.16
1,3.616524,15.62695,-70.89056,0.18,25.37842,27.02637,-134.9121,0.18
1,3.616524,15.62695,-70.89056,0.2,25.37842,27.02637,-134.9121,0.2
1,3.616524,15.62695,-70.89056,0.22,25.37842,27.02637,-134.9121,0.22
1,3.616524,15.62695,-70.89056,0.24,25.37842,27.02637,-134.9121,0.24
1,3.616524,15.62695,-70.89056,0.26,25.37842,27.02637,-134.9121,0.26
1,3.616524,15.62695,-70.89056,0.28,25.37842,27.02637,-134.9121,0.28
1,3.605361,15.62695,-70.86823,0.3,25.33447,26.96045,-134.9121,0.3
1,3.605361,15.62695,-70.86823,0.32,25.33447,26.96045,-134.9121,0.32
1,3.605361,15.62695,-70.86823,0.34,25.33447,26.96045,-134.9121,0.34
1,3.605361,15.62695,-70.86823,0.36,25.33447,26.96045,-134.9121,0.36
1,3.449092,15.62695,-70.9352,0.38,24.91699,26.54297,-134.8242,0.38
1,3.426768,15.5823,-71.02451,0.4,24.89502,26.54297,-134.8242,0.4
1,3.43793,15.40371,-71.1138,0.42,24.96094,26.56494,-134.978,0.42
1,3.43793,15.40371,-71.1138,0.4400001,24.96094,26.56494,-134.978,0.4400001
1,3.43793,15.33674,-70.84591,0.4600001,24.71924,26.14746,-135.3296,0.4600001
1,3.214688,15.83903,-70.14269,0.4800001,22.69775,24.16992,-135.8789,0.4800001
1,3.147715,16.70968,-70.22083,0.5000001,19.11621,21.79688,-136.2964,0.5000001
1,3.716982,16.319,-70.99101,0.52,18.74268,21.90674,-137.0874,0.52
1,4.096494,15.89484,-70.87939,0.54,19.31396,21.90674,-138.0322,0.54
1,4.063008,15.98414,-70.17618,0.56,19.16016,21.40137,-138.5815,0.56
1,3.560713,16.66503,-69.50645,0.58,17.53418,21.1377,-138.3838,0.58
1,3.248174,16.69851,-69.69621,0.6,16.89697,22.47803,-137.9443,0.6
1,2.913311,16.02879,-70.18735,0.6199999,17.42432,25.24658,-137.5269,0.6199999
1,2.265908,14.81212,-70.25432,0.6399999,18.80859,28.8501,-137.4829,0.6399999
1,1.64083,15.12466,-69.18275,0.6599999,17.40234,28.47656,-138.186,0.6599999
1,1.149697,16.25203,-68.60233,0.6799999,14.32617,26.93848,-138.7354,0.6799999
1,0.8818066,16.66503,-68.83673,0.6999999,12.4585,27.00439,-139.4604,0.6999999
1,0.3571875,15.21395,-69.0823,0.7199998,13.49121,30.34424,-141.9434,0.7199998
1,0.1674316,14.97955,-68.74743,0.7399998,13.66699,30.91553,-142.4048,0.7399998
1,-0.4688086,15.00187,-67.50844,0.7599998,12.39258,32.18994,-143.6792,0.7599998
1,-1.116211,15.72741,-66.86104,0.7799998,9.777832,33.37646,-144.2065,0.7799998
1,-1.64083,15.92833,-67.14009,0.7999998,8.745117,35.22217,-144.5581,0.7999998
1,-2.00918,15.48185,-67.59773,0.8199998,9.777832,36.67236,-145.1733,0.8199998
1,-2.109639,15.16931,-67.35217,0.8399997,10.67871,36.62842,-146.2061,0.8399997
1,-2.154287,15.60463,-66.52617,0.8599997,9.558105,35.55176,-147.041,0.8599997
1,-2.243584,16.38598,-66.03504,0.8799997,7.668457,34.82666,-147.3926,0.8799997
1,-2.321719,16.72084,-66.20247,0.8999997,7.207031,35.17822,-147.6782,0.8999997
1,-2.466826,16.48643,-66.60431,0.9199997,8.525391,35.94727,-148.1396,0.9199997
1,-2.667744,16.11809,-66.52617,0.9399996,10.48096,36.23291,-148.9087,0.9399996
1,-2.924473,16.30784,-65.64436,0.9599996,11.0083,35.88135,-149.5679,0.9599996
1,-3.237012,17.11151,-64.95232,0.9799996,9.887695,35.94727,-149.5239,0.9799996
1,-3.449092,17.70311,-65.03045,0.9999996,9.667969,37.13379,-149.3042,0.9999996
1,-3.504902,17.84821,-65.46577,1.02,11.35986,39.17725,-149.3701,1.02
1,-3.22585,17.77008,-65.28718,1.04,13.75488,40.86914,-150.1831,1.04
1,-3.080742,18.13843,-64.32724,1.06,14.08447,41.44043,-150.7983,1.06
1,-3.49374,19.08721,-63.45659,1.08,12.94189,41.41846,-150.5347,1.08
1,-4.152305,19.7681,-63.28916,1.1,12.94189,41.15479,-150.0952,1.1
1,-4.487168,19.6788,-63.44543,1.12,15.00732,40.47363,-150.5347,1.12
1,-4.252764,19.13186,-63.13289,1.14,17.51221,38.69385,-152.2266,1.14
1,-3.940225,19.02024,-62.20644,1.159999,18.12744,35.72754,-154.1162,1.159999
1,-4.163467,19.95785,-61.45857,1.179999,16.72119,31.31104,-155.3467,1.179999
1,-4.386709,20.48247,-61.51439,1.199999,16.3916,29.17969,-155.918,1.199999
1,-4.364385,20.76152,-61.74879,1.219999,17.20459,26.16943,-157.6978,1.219999
1,-3.895576,20.58293,-61.33579,1.239999,18.14941,23.13721,-160.3125,1.239999
1,-3.65001,20.66106,-60.3312,1.259999,17.42432,20.72021,-161.6968,1.259999
