SId,X,Y,Z,PT,A,B,G,OT
2,-4.129981,31.57761,-67.27403,0.02,6.70166,14.08447,-170.6177,0.02
2,-4.208115,31.63342,-67.39682,0.04,6.745605,14.0625,-170.6396,0.04
2,-3.783955,31.42134,-67.57541,0.06,7.272949,14.26025,-171.4526,0.06
2,-3.783955,31.42134,-67.57541,0.08,7.272949,14.26025,-171.4526,0.08
2,-3.783955,31.42134,-67.57541,0.09999999,7.272949,14.26025,-171.4526,0.09999999
2,-3.783955,31.42134,-67.57541,0.12,7.272949,14.26025,-171.4526,0.12
2,-3.783955,31.42134,-67.57541,0.14,7.272949,14.26025,-171.4526,0.14
2,-3.783955,31.42134,-67.57541,0.16,7.272949,14.26025,-171.4526,0.16
2,-3.783955,31.42134,-67.57541,0.18,7.272949,14.26025,-171.4526,0.18
2,-3.783955,31.42134,-67.57541,0.2,7.272949,14.26025,-171.4526,0.2
2,-3.783955,31.42134,-67.57541,0.22,7.272949,14.26025,-171.4526,0.22
2,-3.783955,31.41018,-67.57541,0.24,7.294922,14.26025,-171.4526,0.24
2,-3.783955,31.41018,-67.57541,0.26,7.294922,14.26025,-171.4526,0.26
2,-3.783955,31.41018,-67.57541,0.28,7.294922,14.26025,-171.4526,0.28
2,-3.783955,31.41018,-67.57541,0.3,7.294922,14.26025,-171.4526,0.3
2,-3.783955,31.41018,-67.57541,0.32,7.294922,14.26025,-171.4526,0.32
2,-3.783955,31.41018,-67.57541,0.34,7.294922,14.26025,-171.4526,0.34
2,-3.783955,31.41018,-67.57541,0.36,7.294922,14.26025,-171.4526,0.36
2,-3.806279,31.38785,-67.55309,0.38,7.272949,14.3042,-171.3867,0.38
2,-3.806279,31.38785,-67.55309,0.4,7.272949,14.3042,-171.3867,0.4
2,-3.806279,31.38785,-67.56425,0.42,7.294922,14.34814,-171.3867,0.42
2,-3.806279,31.38785,-67.56425,0.4400001,7.294922,14.34814,-171.3867,0.4400001
2,-3.783955,31.36553,-67.58657,0.4600001,7.338867,14.37012,-171.4087,0.4600001
2,-3.772793,31.3432,-67.59773,0.4800001,7.36084,14.39209,-171.4307,0.4800001
2,-3.783955,31.3432,-67.59773,0.5000001,7.36084,14.37012,-171.4087,0.5000001
2,-3.806279,31.3432,-67.59773,0.52,7.338867,14.37012,-171.3867,0.52
2,-3.817441,31.35436,-67.62006,0.54,7.338867,14.34814,-171.3867,0.54
2,-3.795117,31.36553,-67.63122,0.56,7.382813,14.34814,-171.4526,0.56
2,-3.761631,31.38785,-67.64238,0.58,7.404785,14.32617,-171.5186,0.58
2,-3.750469,31.41018,-67.63122,0.6,7.382813,14.3042,-171.5186,0.6
2,-3.761631,31.45482,-67.62006,0.6199999,7.338867,14.3042,-171.4966,0.6199999
2,-3.795117,31.48831,-67.63122,0.6399999,7.316895,14.28223,-171.4746,0.6399999
2,-3.828604,31.5218,-67.63122,0.6599999,7.316895,14.3042,-171.4307,0.6599999
2,-3.850928,31.53296,-67.60889,0.6799999,7.294922,14.32617,-171.4307,0.6799999
2,-3.850928,31.55528,-67.57541,0.6999999,7.250977,14.34814,-171.4087,0.6999999
2,-3.86209,31.59993,-67.56425,0.7199998,7.185059,14.34814,-171.3867,0.7199998
2,-3.884414,31.6669,-67.59773,0.7399998,7.185059,14.37012,-171.3428,0.7399998
2,-3.906738,31.67807,-67.63122,0.7599998,7.294922,14.37012,-171.3428,0.7599998
2,-3.9179,31.63342,-67.63122,0.7799998,7.44873,14.37012,-171.3428,0.7799998
2,-3.951387,31.58877,-67.60889,0.7999998,7.514648,14.34814,-171.2769,0.7999998
2,-3.984873,31.58877,-67.59773,0.8199998,7.492676,14.34814,-171.2109,0.8199998
2,-3.984873,31.59993,-67.60889,0.8399997,7.492676,14.37012,-171.167,0.8399997
2,-3.962549,31.58877,-67.63122,0.8599997,7.514648,14.37012,-171.2109,0.8599997
2,-3.895576,31.55528,-67.64238,0.8799997,7.558594,14.37012,-171.2769,0.8799997
2,-3.895576,31.55528,-67.63122,0.8999997,7.558594,14.37012,-171.2769,0.8999997
2,-3.906738,31.57761,-67.63122,0.9199997,7.558594,14.34814,-171.2329,0.9199997
2,-3.929063,31.61109,-67.64238,0.9399996,7.558594,14.32617,-171.167,0.9399996
2,-3.9179,31.6669,-67.65354,0.9599996,7.602539,14.32617,-171.145,0.9599996
2,-3.795117,31.70039,-67.64238,0.9799996,7.77832,14.3042,-171.189,0.9799996
2,-3.594199,31.73388,-67.58657,0.9999996,7.998047,14.32617,-171.2329,0.9999996
2,-3.460254,31.87898,-67.56425,1.02,8.239746,14.32617,-171.123,1.02
2,-3.43793,32.09106,-67.68703,1.04,8.920898,14.26025,-170.7715,1.04
2,-3.404443,32.12455,-67.72052,1.06,9.448242,14.19434,-170.6616,1.06
2,-3.315146,32.11339,-67.63122,1.08,10.10742,14.0625,-170.4199,1.08
2,-3.237012,32.24733,-67.38565,1.1,10.26123,13.95264,-169.9585,1.1
2,-3.192363,32.52639,-67.21822,1.12,10.12939,13.88672,-169.4971,1.12
2,-3.091904,32.76079,-67.1959,1.14,10.21729,13.84277,-169.2993,1.14
2,-2.890986,32.8166,-67.1959,1.159999,10.65674,13.73291,-169.3433,1.159999
2,-2.667744,32.71614,-67.06195,1.179999,11.11816,13.55713,-169.2334,1.179999
2,-2.656582,32.61568,-66.77174,1.199999,11.29395,13.3374,-168.5742,1.199999
2,-2.8575,32.68266,-66.44804,1.219999,11.25,13.05176,-167.5854,1.219999
2,-3.01377,32.86125,-66.16898,1.239999,11.31592,12.72217,-166.8604,1.239999
2,-2.935635,32.98403,-65.86761,1.259999,11.68945,12.37061,-166.7725,1.259999
2,-2.757041,32.99519,-65.43228,1.279999,12.10693,11.88721,-167.0142,1.279999
2,-2.824014,33.01752,-64.96348,1.299999,12.23877,11.22803,-166.9043,1.299999
2,-3.158877,33.17379,-64.71791,1.319999,12.34863,10.43701,-166.4429,1.319999
2,-3.516064,33.44168,-64.70675,1.339999,12.94189,9.316406,-166.0474,1.339999
2,-3.404443,33.54214,-64.60629,1.359999,13.71094,8.239746,-166.4209,1.359999
2,-3.203525,33.54214,-64.19329,1.379999,14.32617,6.877441,-166.9922,1.379999
2,-3.315146,33.62027,-63.67983,1.399999,14.56787,5.449219,-167.0581,1.399999
2,-3.594199,33.85468,-63.42311,1.419999,14.74365,4.21875,-166.8164,1.419999
2,-3.594199,34.0556,-63.42311,1.439999,15.16113,3.339844,-166.9263,1.439999
2,-3.214688,34.1114,-63.40078,1.459999,15.73242,2.658691,-167.4316,1.459999
2,-2.824014,34.14489,-63.05476,1.479999,15.88623,1.889648,-167.7612,1.479999
2,-2.846338,34.31232,-62.50781,1.499999,15.44678,0.9228516,-167.4976,1.499999
2,-3.036094,34.53557,-62.02784,1.519999,14.91943,0.1098633,-167.0142,1.519999
2,-2.980283,34.59138,-61.70414,1.539999,14.69971,-0.2856445,-166.8164,1.539999
2,-2.64542,34.45743,-61.36928,1.559999,14.72168,-0.3735352,-166.9263,1.559999
2,-2.355205,34.25652,-60.95628,1.579999,14.69971,-0.4833984,-166.8823,1.579999
2,-2.399853,34.16722,-60.62141,1.599999,14.52393,-0.8569336,-166.377,1.599999
2,-2.667744,34.18954,-60.48747,1.619999,14.47998,-1.318359,-165.6738,1.619999
2,-2.801689,34.07792,-60.45398,1.639999,14.85352,-1.494141,-165.1685,1.639999
2,-2.690068,33.85468,-60.34236,1.659999,15.11719,-1.318359,-165.1025,1.659999
2,-2.422178,33.464,-59.96285,1.679999,15.29297,-0.9448242,-165.0366,1.679999
2,-2.332881,33.33006,-59.37126,1.699999,14.83154,-0.769043,-164.6631,1.699999
2,-2.444502,33.51981,-58.73502,1.719999,13.93066,-0.769043,-164.0698,1.719999
2,-2.466826,33.65376,-58.17691,1.739999,13.22754,-0.637207,-163.6523,1.739999
2,-2.176611,33.47517,-57.74159,1.759999,13.00781,-0.2416992,-163.7183,1.759999
2,-1.741289,33.1403,-57.36208,1.779999,13.05176,0.1318359,-163.9819,1.779999
2,-1.462236,32.95055,-57.00489,1.799999,13.00781,0.2197266,-164.0039,1.799999
2,-1.42875,32.93938,-56.72584,1.819999,12.96387,0.1757813,-163.7842,1.819999
2,-1.439912,32.92822,-56.48027,1.839999,13.13965,0.2856445,-163.6523,1.839999
2,-1.372939,32.78312,-56.0896,1.859999,13.31543,0.5273438,-163.7402,1.859999
2,-1.339453,32.59336,-55.43103,1.879999,13.11768,0.6811523,-163.7402,1.879999
2,-1.406426,32.45942,-54.67201,1.899999,12.56836,0.6811523,-163.5205,1.899999
2,-1.417588,32.39244,-54.05809,1.919999,12.01904,0.8129883,-163.4326,1.919999
2,-1.127373,32.11339,-53.45534,1.939999,11.93115,1.384277,-164.0259,1.939999
2,-0.9376172,31.89015,-53.09816,1.959999,12.01904,1.713867,-164.3994,1.959999
2,-0.7366992,31.42134,-52.41727,1.979999,12.15088,1.955566,-164.7949,1.979999
2,-0.7925098,31.05299,-51.6694,1.999999,11.99707,1.801758,-164.8828,1.999999
2,-1.00459,30.8744,-50.97735,2.019999,11.53564,1.318359,-164.8828,2.019999
2,-1.183184,30.77394,-50.30763,2.039999,10.94238,0.7250977,-165.0366,2.039999
2,-1.283643,30.55069,-49.59325,2.059999,10.41504,0.02197266,-165.3003,2.059999
2,-1.406426,30.17118,-48.77842,2.079999,9.887695,-1.054688,-165.3442,2.079999
2,-1.64083,29.74702,-47.91893,2.099999,9.18457,-2.570801,-165.0586,2.099999
2,-1.931045,29.35635,-47.05945,2.119999,8.261719,-4.240723,-164.5972,2.119999
2,-2.165449,28.88754,-46.22229,2.139999,7.294922,-5.756836,-164.2896,2.139999
2,-2.355205,28.2513,-45.36281,2.159999,6.416016,-7.03125,-164.2456,2.159999
2,-2.533799,27.5146,-44.43636,2.179999,5.537109,-8.283691,-164.3115,2.179999
2,-2.745879,26.82255,-43.45409,2.199999,4.54834,-9.755859,-164.2896,2.199999
2,-2.969121,26.2198,-42.52764,2.219999,3.47168,-11.42578,-164.1138,2.219999
2,-3.158877,25.63937,-41.67932,2.239999,2.526855,-13.18359,-163.894,2.239999
2,-3.303984,24.96964,-40.85332,2.259999,1.73584,-14.87549,-163.7183,2.259999
2,-3.460254,24.23294,-40.005,2.279999,1.010742,-16.47949,-163.5425,2.279999
2,-3.638848,23.51856,-39.179,2.299999,0.2197266,-17.92969,-163.3447,2.299999
2,-3.839766,22.84884,-38.40882,2.319999,-0.5932617,-19.18213,-163.147,2.319999
2,-3.996035,22.17911,-37.69444,2.339998,-1.362305,-20.30273,-163.0371,2.339998
2,-4.152305,21.45358,-37.00239,2.359998,-2.043457,-21.37939,-162.9272,2.359998
2,-4.353223,20.68339,-36.29918,2.379998,-2.702637,-22.54395,-162.6855,2.379998
2,-4.6546,19.65648,-35.38389,2.399998,-3.691406,-24.25781,-162.2241,2.399998
2,-4.766221,19.14302,-34.94856,2.419998,-4.21875,-25.11475,-162.0923,2.419998
2,-4.933652,18.36167,-34.32349,2.439998,-5.031738,-26.41113,-161.9385,2.439998
2,-5.07876,17.54684,-33.68724,2.459998,-5.844727,-27.70752,-161.7627,2.459998
2,-5.223867,16.70968,-33.05101,2.479998,-6.723633,-29.04785,-161.4771,2.479998
2,-5.380136,15.86136,-32.42593,2.499998,-7.668457,-30.4541,-161.0156,2.499998
2,-5.514082,15.01304,-31.82317,2.519998,-8.679199,-31.79443,-160.5322,2.519998
2,-5.614541,14.15355,-31.24274,2.539998,-9.711914,-33.0249,-160.1147,2.539998
2,-5.670352,13.29407,-30.66232,2.559998,-10.72266,-34.10156,-159.8071,2.559998
2,-5.715,12.45691,-30.08188,2.579998,-11.68945,-35.00244,-159.4775,2.579998
2,-5.748487,11.64208,-29.52378,2.599998,-12.67822,-35.79346,-159.082,2.599998
2,-5.781973,10.88306,-28.99916,2.619998,-13.62305,-36.40869,-158.6865,2.619998
2,-5.781973,10.14636,-28.53035,2.639998,-14.5459,-36.89209,-158.335,2.639998
2,-5.759648,9.454307,-28.09503,2.659998,-15.38086,-37.19971,-158.0933,2.659998
2,-5.748487,8.78458,-27.69319,2.679998,-16.19385,-37.41943,-157.8296,2.679998
2,-5.737324,8.137177,-27.32484,2.699998,-16.96289,-37.59521,-157.5659,2.699998
2,-5.737324,7.523262,-26.98998,2.719998,-17.70996,-37.74902,-157.2803,2.719998
2,-5.737324,6.93167,-26.6886,2.739998,-18.43506,-37.94678,-157.0386,2.739998
2,-5.759648,6.373564,-26.39839,2.759998,-19.11621,-38.23242,-156.8408,2.759998
2,-5.793135,5.826621,-26.1305,2.779998,-19.75342,-38.62793,-156.5771,2.779998
2,-5.87127,5.324326,-25.87377,2.799998,-20.32471,-39.11133,-156.2256,2.799998
2,-5.971728,4.855517,-25.63937,2.819998,-20.87402,-39.59473,-155.8081,2.819998
2,-6.08335,4.420195,-25.42728,2.839998,-21.35742,-40.03418,-155.3906,2.839998
2,-6.250781,3.895576,-25.17056,2.859998,-21.90674,-40.49561,-154.9292,2.859998
2,-6.340078,3.638848,-25.05894,2.879998,-22.17041,-40.69336,-154.7314,2.879998
2,-6.462862,3.292822,-24.88034,2.899998,-22.54395,-41.02295,-154.4678,2.899998
2,-6.596807,2.969121,-24.71291,2.919998,-22.91748,-41.33057,-154.1821,2.919998
2,-6.708428,2.667744,-24.55664,2.939998,-23.26904,-41.68213,-153.8965,2.939998
2,-6.797725,2.366367,-24.4227,2.959998,-23.66455,-42.05566,-153.6548,2.959998
2,-6.831211,2.076152,-24.27759,2.979998,-24.16992,-42.53906,-153.3472,2.979998
2,-6.797725,1.774775,-24.1548,2.999998,-24.80713,-43.04443,-152.9517,2.999998
2,-6.708428,1.48456,-24.05435,3.019998,-25.5542,-43.48389,-152.5342,3.019998
2,-6.540996,1.205508,-23.96505,3.039998,-26.41113,-43.7915,-152.1167,3.039998
2,-6.317754,0.9264551,-23.88691,3.059998,-27.26807,-43.90137,-151.7212,3.059998
2,-6.049863,0.6697266,-23.78646,3.079998,-28.125,-43.85742,-151.3696,3.079998
2,-5.737324,0.4464844,-23.65251,3.099998,-28.98193,-43.65967,-151.084,3.099998
2,-5.413623,0.2678906,-23.51856,3.119998,-29.88281,-43.28613,-150.9082,3.119998
2,-5.089922,0.1227832,-23.35113,3.139998,-30.80566,-42.6709,-150.8643,3.139998
2,-4.49833,0.03348633,-23.03859,3.159998,-32.3877,-41.06689,-151.084,3.159998
2,-4.386709,0.02232422,-22.97162,3.179998,-32.58545,-40.67139,-151.0181,3.179998
2,-3.996035,0.08929688,-22.74838,3.199998,-33.31055,-39.375,-151.106,3.199998
2,-3.605361,0.2120801,-22.50281,3.219998,-33.94775,-37.94678,-151.1719,3.219998
2,-3.248174,0.3460254,-22.23492,3.239998,-34.51904,-36.47461,-151.2378,3.239998
2,-2.924473,0.4911328,-21.94471,3.259998,-35.17822,-34.93652,-151.2817,3.259998
2,-2.64542,0.6027539,-21.65449,3.279998,-35.92529,-33.37646,-151.3257,3.279998
2,-2.388691,0.6920508,-21.36428,3.299998,-36.78223,-31.83838,-151.2817,3.299998
2,-2.098477,0.7813476,-20.99593,3.319998,-38.03467,-30.14648,-150.9961,3.319998
2,-1.953369,0.7813476,-20.8285,3.339998,-38.54004,-29.53125,-150.7324,3.339998
2,-1.741289,0.7478613,-20.59409,3.359998,-39.30908,-28.95996,-150.1831,3.359998
2,-1.540371,0.6697266,-20.39317,3.379997,-39.99023,-28.76221,-149.5239,3.379997
2,-1.339453,0.5134571,-20.20342,3.399997,-40.64941,-28.76221,-148.8428,3.399997
2,-1.160859,0.3125391,-20.03599,3.419997,-41.28662,-28.87207,-148.2275,3.419997
2,-1.038076,0.06697266,-19.86856,3.439997,-41.87988,-29.02588,-147.8101,3.439997
2,-0.9487793,-0.200918,-19.70112,3.459997,-42.40723,-29.22363,-147.6123,3.459997
2,-0.915293,-0.4688086,-19.53369,3.479997,-42.86865,-29.44336,-147.5464,3.479997
2,-0.8929688,-0.714375,-19.38858,3.499997,-43.30811,-29.729,-147.5244,3.499997
2,-0.8929688,-0.9376172,-19.2658,3.519997,-43.74756,-30.05859,-147.4585,3.519997
2,-0.8706445,-1.127373,-19.1765,3.539997,-44.16504,-30.43213,-147.3047,3.539997
2,-0.8371582,-1.305967,-19.10953,3.559997,-44.5166,-30.80566,-147.063,3.559997
2,-0.7701855,-1.451074,-19.05372,3.579997,-44.80225,-31.20117,-146.7554,3.579997
2,-0.6808887,-1.58502,-19.02024,3.599997,-45.02197,-31.55273,-146.4038,3.599997
2,-0.5469434,-1.752451,-18.99791,3.619997,-45.26367,-31.88232,-145.9644,3.619997
2,-0.4799707,-1.85291,-18.98675,3.639997,-45.39551,-31.99219,-145.8105,3.639997
2,-0.3795117,-1.998018,-18.96442,3.659997,-45.61523,-32.01416,-145.7007,3.659997
2,-0.3013769,-2.143125,-18.93094,3.679997,-45.87891,-31.88232,-145.7446,3.679997
2,-0.2567285,-2.265908,-18.88629,3.699997,-46.18652,-31.55273,-145.9863,3.699997
2,-0.2344043,-2.366367,-18.84164,3.719997,-46.51611,-31.06934,-146.4258,3.719997
2,-0.2344043,-2.43334,-18.79699,3.739997,-46.8457,-30.54199,-146.9531,3.739997
2,-0.2455664,-2.477988,-18.76351,3.759997,-47.15332,-30.01465,-147.4805,3.759997
2,-0.2678906,-2.522637,-18.74118,3.779997,-47.48291,-29.4873,-147.9639,3.779997
2,-0.2902148,-2.567285,-18.74118,3.799997,-47.83447,-28.93799,-148.4253,3.799997
2,-0.3237012,-2.611934,-18.74118,3.819997,-48.16406,-28.38867,-148.8647,3.819997
2,-0.3460254,-2.64542,-18.74118,3.839997,-48.44971,-27.81738,-149.3042,3.839997
2,-0.3795117,-2.678906,-18.75234,3.859997,-48.71338,-27.26807,-149.7217,3.859997
2,-0.4018359,-2.712393,-18.75234,3.879997,-48.91113,-26.80664,-150.0732,3.879997
2,-0.4129981,-2.734717,-18.76351,3.899997,-49.13086,-26.43311,-150.3369,3.899997
2,-0.4241602,-2.801689,-18.78583,3.919997,-49.52637,-25.90576,-150.6445,3.919997
2,-0.4241602,-2.812852,-18.79699,3.939997,-49.61426,-25.81787,-150.7104,3.939997
2,-0.4129981,-2.8575,-18.79699,3.959997,-49.85596,-25.53223,-150.8862,3.959997
2,-0.4018359,-2.890986,-18.79699,3.979997,-50.03174,-25.3125,-151.084,3.979997
2,-0.4018359,-2.913311,-18.79699,3.999997,-50.11963,-25.13672,-151.2817,3.999997
2,-0.3906738,-2.924473,-18.78583,4.019997,-50.1416,-25.02686,-151.4355,4.019997
2,-0.3906738,-2.935635,-18.78583,4.039997,-50.16357,-24.93896,-151.5894,4.039997
2,-0.3795117,-2.935635,-18.77467,4.059997,-50.1416,-24.89502,-151.6992,4.059997
2,-0.3795117,-2.935635,-18.77467,4.079997,-50.11963,-24.85107,-151.853,4.079997
2,-0.3795117,-2.946797,-18.77467,4.099997,-50.07568,-24.78516,-151.9629,4.099997
2,-0.3795117,-2.946797,-18.77467,4.119997,-50.00977,-24.69727,-152.1167,4.119997
2,-0.3795117,-2.946797,-18.78583,4.139997,-49.92188,-24.49951,-152.4023,4.139997
2,-0.3795117,-2.946797,-18.78583,4.159997,-49.79004,-24.21387,-152.7979,4.159997
2,-0.3683496,-2.946797,-18.79699,4.179997,-49.63623,-23.90625,-153.2153,4.179997
2,-0.3683496,-2.946797,-18.79699,4.199997,-49.52637,-23.68652,-153.5449,4.199997
2,-0.3683496,-2.946797,-18.79699,4.219997,-49.50439,-23.57666,-153.6987,4.219997
2,-0.3683496,-2.946797,-18.79699,4.239997,-49.48242,-23.44482,-153.8525,4.239997
2,-0.3683496,-2.935635,-18.79699,4.259997,-49.48242,-23.37891,-153.9624,4.259997
2,-0.3683496,-2.946797,-18.79699,4.279997,-49.50439,-23.31299,-154.0503,4.279997
2,-0.3683496,-2.946797,-18.79699,4.299997,-49.52637,-23.24707,-154.0942,4.299997
2,-0.3683496,-2.946797,-18.79699,4.319997,-49.57031,-23.18115,-154.1602,4.319997
2,-0.3571875,-2.946797,-18.79699,4.339997,-49.59229,-23.13721,-154.2041,4.339997
2,-0.3571875,-2.946797,-18.79699,4.359997,-49.61426,-23.07129,-154.248,4.359997
2,-0.3125391,-2.946797,-18.79699,4.379997,-49.68018,-22.93945,-154.292,4.379997
2,-0.2902148,-2.946797,-18.79699,4.399997,-49.70215,-22.93945,-154.292,4.399997
2,-0.2232422,-2.935635,-18.78583,4.419997,-49.72412,-23.02734,-154.2261,4.419997
2,-0.1562695,-2.935635,-18.77467,4.439997,-49.72412,-23.24707,-154.0942,4.439997
2,-0.1116211,-2.935635,-18.76351,4.459997,-49.70215,-23.4668,-153.9844,4.459997
2,-0.06697266,-2.935635,-18.75234,4.479997,-49.6582,-23.68652,-153.8745,4.479997
2,-0.02232422,-2.935635,-18.75234,4.499997,-49.59229,-23.88428,-153.7646,4.499997
2,0.01116211,-2.935635,-18.73002,4.519997,-49.50439,-24.08203,-153.6548,4.519997
2,0.07813477,-2.935635,-18.71886,4.539997,-49.39453,-24.27979,-153.479,4.539997
2,0.1227832,-2.935635,-18.7077,4.559997,-49.35059,-24.38965,-153.3911,4.559997
2,0.1674316,-2.935635,-18.69653,4.579997,-49.28467,-24.52148,-153.2813,4.579997
2,0.200918,-2.946797,-18.68537,4.599997,-49.24072,-24.67529,-153.1934,4.599997
2,0.2232422,-2.946797,-18.67421,4.619997,-49.19678,-24.80713,-153.0835,4.619997
2,0.2567285,-2.946797,-18.66305,4.639997,-49.1748,-24.96094,-152.9956,4.639997
2,0.2790527,-2.946797,-18.64072,4.659997,-49.13086,-25.11475,-152.9077,4.659997
2,0.3125391,-2.957959,-18.6184,4.679996,-49.08691,-25.3125,-152.7979,4.679996
