SId,X,Y,Z,PT,A,B,G,OT
2,-2.589609,4.152305,-54.80596,0.02,-8.173828,74.92676,88.43994,0.02
2,-2.556123,4.174629,-54.75014,0.04,-8.085938,74.61914,88.48389,0.04
2,-1.730127,4.409033,-53.56696,0.06,-7.800293,73.71826,88.26416,0.06
2,-1.730127,4.409033,-53.56696,0.08,-7.800293,73.71826,88.26416,0.08
2,-1.730127,4.409033,-53.56696,0.09999999,-7.800293,73.71826,88.26416,0.09999999
2,-1.730127,4.409033,-53.56696,0.12,-7.800293,73.71826,88.26416,0.12
2,-1.730127,4.409033,-53.56696,0.14,-7.800293,73.71826,88.26416,0.14
2,-1.730127,4.409033,-53.56696,0.16,-7.800293,73.71826,88.26416,0.16
2,-1.718965,4.420195,-53.5558,0.18,-7.822266,73.78418,88.19824,0.18
2,-1.718965,4.420195,-53.5558,0.2,-7.822266,73.78418,88.19824,0.2
2,-1.718965,4.420195,-53.5558,0.22,-7.822266,73.78418,88.19824,0.22
2,-1.718965,4.420195,-53.5558,0.24,-7.822266,73.78418,88.19824,0.24
2,-1.718965,4.420195,-53.5558,0.26,-7.822266,73.78418,88.19824,0.26
2,-1.718965,4.420195,-53.5558,0.28,-7.822266,73.78418,88.19824,0.28
2,-1.718965,4.420195,-53.5558,0.3,-7.822266,73.78418,88.19824,0.3
2,-1.718965,4.420195,-53.5558,0.32,-7.822266,73.78418,88.19824,0.32
2,-1.718965,4.420195,-53.5558,0.34,-7.822266,73.78418,88.19824,0.34
2,-1.718965,4.420195,-53.5558,0.36,-7.822266,73.78418,88.19824,0.36
2,-1.741289,4.44252,-53.57813,0.38,-7.866211,73.89404,88.06641,0.38
2,-1.741289,4.44252,-53.57813,0.4,-7.866211,73.89404,88.06641,0.4
2,-1.7971,4.453681,-53.58929,0.42,-7.910156,73.93799,88.11035,0.42
2,-1.841748,4.453681,-53.60045,0.4400001,-7.932129,73.95996,88.13232,0.4400001
2,-1.875234,4.44252,-53.61161,0.4600001,-7.954102,73.93799,88.1543,0.4600001
2,-1.908721,4.397871,-53.63393,0.4800001,-7.998047,73.87207,88.17627,0.4800001
2,-1.942207,4.330898,-53.6451,0.5000001,-8.063965,73.76221,88.17627,0.5000001
2,-1.975693,4.275088,-53.66742,0.52,-8.195801,73.65234,88.17627,0.52
