SId,X,Y,Z,PT,A,B,G,OT
2,-3.86209,17.40173,-37.85071,2.639998,-0.02197266,-32.73926,132.2974,2.639998
2,-3.482578,17.01105,-37.53817,2.659998,-0.1757813,-32.36572,132.9346,2.659998
2,-2.913311,16.39714,-37.0582,2.679998,-0.4174805,-31.81641,133.8794,2.679998
2,-2.377529,15.78322,-36.55591,2.699998,-0.7250977,-31.28906,134.8462,2.699998
2,-1.897559,15.19163,-36.00896,2.719998,-1.230469,-30.78369,135.8789,2.719998
2,-1.473398,14.64469,-35.42854,2.739998,-1.889648,-30.30029,136.9336,2.739998
2,-1.049238,14.08658,-34.83694,2.759998,-2.548828,-29.94873,137.8784,2.759998
2,-0.6362402,13.52848,-34.24535,2.779998,-3.14209,-29.75098,138.7134,2.779998
2,-0.2567285,12.95921,-33.6426,2.799998,-3.691406,-29.88281,139.5264,2.799998
2,0.08929688,12.42343,-33.01752,2.819998,-4.262695,-30.32227,140.3833,2.819998
2,0.5915918,11.56395,-31.95712,2.839998,-5.185547,-31.86035,141.8335,2.839998
2,0.7813476,11.25141,-31.53296,2.859998,-5.537109,-32.60742,142.2949,2.859998
2,1.049238,10.80492,-30.89672,2.879998,-5.932617,-33.75,142.8882,2.879998
2,1.294805,10.41425,-30.27164,2.899998,-6.262207,-34.76074,143.3276,2.899998
2,1.506885,10.09055,-29.65772,2.919998,-6.547852,-35.44189,143.6572,2.919998
2,1.718965,9.811494,-29.05497,2.939998,-6.833496,-35.72754,143.9429,2.939998
2,1.919883,9.57709,-28.46338,2.959998,-7.119141,-35.61768,144.2285,2.959998
2,2.131963,9.331524,-27.88295,2.979998,-7.470703,-35.2002,144.5801,2.979998
2,2.344043,9.085957,-27.31368,2.999998,-7.888184,-34.65088,145.0195,2.999998
2,2.544961,8.84039,-26.76674,3.019998,-8.415527,-34.12354,145.481,3.019998
2,2.723555,8.583662,-26.25328,3.039998,-8.964844,-33.72803,145.9204,3.039998
2,2.868662,8.326934,-25.78447,3.059998,-9.42627,-33.44238,146.2939,3.059998
2,3.002607,8.081367,-25.36031,3.079998,-9.755859,-33.22266,146.5796,3.079998
2,3.103066,7.835801,-24.99196,3.099998,-9.997559,-33.06885,146.7993,3.099998
2,3.158877,7.601397,-24.66826,3.119998,-10.23926,-33.0249,146.9971,3.119998
2,3.192363,7.221885,-24.21062,3.139998,-10.67871,-33.04688,147.2168,3.139998
2,3.203525,7.154912,-24.12132,3.159998,-10.7666,-33.04688,147.2388,3.159998
2,3.203525,6.93167,-23.88691,3.179998,-11.03027,-33.11279,147.3267,3.179998
2,3.214688,6.71959,-23.67483,3.199998,-11.29395,-33.15674,147.4365,3.199998
2,3.22585,6.50751,-23.47392,3.219998,-11.57959,-33.17871,147.6123,3.219998
2,3.237012,6.29543,-23.28416,3.239998,-11.90918,-33.17871,147.8101,3.239998
2,3.270498,6.08335,-23.10557,3.259998,-12.2168,-33.13477,148.0078,3.259998
2,3.315146,5.87127,-22.92697,3.279998,-12.50244,-33.06885,148.1616,3.279998
2,3.370957,5.670352,-22.74838,3.299998,-12.74414,-32.95898,148.2935,3.299998
2,3.426768,5.480596,-22.59211,3.319998,-12.94189,-32.82715,148.4033,3.319998
2,3.471416,5.313164,-22.45816,3.339998,-13.11768,-32.73926,148.4912,3.339998
2,3.504902,5.156895,-22.32422,3.359998,-13.27148,-32.65137,148.5571,3.359998
2,3.538389,5.011787,-22.2126,3.379997,-13.38135,-32.62939,148.6011,3.379997
2,3.549551,4.855517,-22.10098,3.399997,-13.51318,-32.60742,148.645,3.399997
2,3.560713,4.721572,-21.97819,3.419997,-13.66699,-32.56348,148.645,3.419997
2,3.549551,4.587627,-21.87774,3.439997,-13.77686,-32.51953,148.623,3.439997
2,3.516064,4.476006,-21.77728,3.459997,-13.88672,-32.49756,148.5352,3.459997
2,3.471416,4.364385,-21.68798,3.479997,-13.95264,-32.51953,148.4473,3.479997
2,3.415606,4.275088,-21.62101,3.499997,-13.97461,-32.62939,148.3374,3.499997
2,3.348633,4.196953,-21.55403,3.519997,-13.97461,-32.82715,148.2495,3.519997
2,3.28166,4.129981,-21.50938,3.539997,-13.99658,-33.06885,148.2056,3.539997
2,3.22585,4.07417,-21.4759,3.559997,-14.04053,-33.31055,148.2275,3.559997
2,3.181201,4.029521,-21.44241,3.579997,-14.0625,-33.53027,148.2715,3.579997
2,3.147715,3.984873,-21.42009,3.599997,-14.10645,-33.70605,148.3813,3.599997
2,3.125391,3.973711,-21.40893,3.619997,-14.12842,-33.75,148.4473,3.619997
2,3.125391,3.940225,-21.39776,3.639997,-14.17236,-33.77197,148.5571,3.639997
2,3.114228,3.9179,-21.37544,3.659997,-14.23828,-33.75,148.667,3.659997
2,3.114228,3.884414,-21.36428,3.679997,-14.3042,-33.75,148.7549,3.679997
2,3.103066,3.850928,-21.34195,3.699997,-14.39209,-33.77197,148.8428,3.699997
2,3.091904,3.817441,-21.33079,3.719997,-14.47998,-33.81592,148.9087,3.719997
2,3.080742,3.795117,-21.31963,3.739997,-14.56787,-33.90381,148.9746,3.739997
2,3.080742,3.783955,-21.30847,3.759997,-14.61182,-33.94775,149.0186,3.759997
2,3.06958,3.772793,-21.2973,3.779997,-14.67773,-34.05762,149.1064,3.779997
2,3.058418,3.750469,-21.27498,3.799997,-14.74365,-34.18945,149.1943,3.799997
2,3.058418,3.728145,-21.25266,3.819997,-14.7876,-34.34326,149.3262,3.819997
2,3.047256,3.70582,-21.24149,3.839997,-14.83154,-34.49707,149.458,3.839997
2,3.047256,3.694658,-21.23033,3.859997,-14.87549,-34.60693,149.5898,3.859997
2,3.047256,3.683496,-21.21917,3.879997,-14.87549,-34.69482,149.6997,3.879997
2,3.047256,3.672334,-21.20801,3.899997,-14.89746,-34.76074,149.8535,3.899997
2,3.047256,3.672334,-21.20801,3.919997,-14.89746,-34.78271,149.8975,3.919997
2,3.058418,3.661172,-21.20801,3.939997,-14.89746,-34.82666,150.0073,3.939997
2,3.058418,3.65001,-21.20801,3.959997,-14.91943,-34.93652,150.1172,3.959997
2,3.058418,3.638848,-21.20801,3.979997,-14.94141,-35.04639,150.2271,3.979997
2,3.058418,3.627686,-21.21917,3.999997,-14.96338,-35.2002,150.3369,3.999997
2,3.058418,3.616524,-21.21917,4.019997,-15.00732,-35.354,150.4468,4.019997
2,3.058418,3.605361,-21.23033,4.039997,-15.05127,-35.50781,150.5566,4.039997
2,3.058418,3.583037,-21.24149,4.059997,-15.13916,-35.70557,150.6885,4.059997
2,3.06958,3.560713,-21.24149,4.079997,-15.20508,-35.81543,150.7324,4.079997
2,3.06958,3.538389,-21.25266,4.099997,-15.33691,-35.96924,150.7764,4.099997
2,3.06958,3.504902,-21.27498,4.119997,-15.5127,-36.14502,150.8203,4.119997
2,3.080742,3.460254,-21.2973,4.139997,-15.77637,-36.36475,150.8643,4.139997
2,3.080742,3.404443,-21.31963,4.159997,-16.10596,-36.62842,150.9082,4.159997
2,3.080742,3.348633,-21.35312,4.179997,-16.45752,-36.93604,150.9082,4.179997
2,3.091904,3.292822,-21.37544,4.199997,-16.80908,-37.24365,150.9302,4.199997
2,3.091904,3.248174,-21.39776,4.219997,-17.1167,-37.57324,150.9302,4.219997
2,3.103066,3.192363,-21.42009,4.239997,-17.42432,-37.9248,150.9521,4.239997
2,3.103066,3.147715,-21.44241,4.259997,-17.75391,-38.29834,150.9961,4.259997
2,3.114228,3.103066,-21.46474,4.279997,-18.0835,-38.67188,151.062,4.279997
2,3.125391,3.047256,-21.48706,4.299997,-18.43506,-39.06738,151.106,4.299997
2,3.136553,2.969121,-21.52055,4.319997,-18.87451,-39.55078,151.2158,4.319997
2,3.147715,2.924473,-21.54287,4.339997,-19.2041,-39.88037,151.2817,4.339997
2,3.158877,2.8575,-21.5652,4.359997,-19.59961,-40.20996,151.4136,4.359997
2,3.158877,2.835176,-21.57636,4.379997,-19.77539,-40.31982,151.4575,4.379997
2,3.181201,2.801689,-21.59868,4.399997,-20.01709,-40.42969,151.5015,4.399997
2,3.192363,2.768203,-21.60984,4.419997,-20.21484,-40.47363,151.5454,4.419997
2,3.192363,2.745879,-21.62101,4.439997,-20.36865,-40.49561,151.6113,4.439997
2,3.203525,2.723555,-21.62101,4.459997,-20.50049,-40.47363,151.6553,4.459997
2,3.203525,2.712393,-21.62101,4.479997,-20.58838,-40.45166,151.6772,4.479997
2,3.203525,2.712393,-21.62101,4.499997,-20.63232,-40.42969,151.6772,4.499997
2,3.203525,2.712393,-21.62101,4.519997,-20.61035,-40.36377,151.6333,4.519997
2,3.203525,2.723555,-21.62101,4.539997,-20.56641,-40.29785,151.6113,4.539997
2,3.214688,2.723555,-21.62101,4.559997,-20.52246,-40.23193,151.5894,4.559997
2,3.214688,2.745879,-21.63217,4.579997,-20.43457,-40.1001,151.5234,4.579997
2,3.22585,2.879824,-21.63217,4.599997,-19.6875,-38.97949,151.1938,4.599997
