SId,X,Y,Z,PT,A,B,G,OT
2,7.824639,8.460879,-37.52701,2.739998,38.43018,-18.7207,154.1821,2.739998
2,7.713017,8.025557,-36.79031,2.759998,38.07861,-18.58887,154.1602,2.759998
2,7.601397,7.601397,-36.07594,2.779998,37.771,-18.34717,154.2041,2.779998
2,7.489775,7.188398,-35.39505,2.799998,37.59521,-17.88574,154.3579,2.799998
2,7.378154,6.786562,-34.73648,2.819998,37.55127,-17.18262,154.6436,2.819998
2,7.277695,6.407051,-34.1114,2.839998,37.57324,-16.32568,154.9951,2.839998
2,7.221885,6.183809,-33.70957,2.859998,37.50732,-15.77637,155.2808,2.859998
2,7.132588,5.848945,-33.1403,2.879998,37.39746,-15.0293,155.6323,2.879998
2,7.043291,5.547568,-32.59336,2.899998,37.17773,-14.39209,155.874,2.899998
2,6.93167,5.257353,-32.09106,2.919998,36.8042,-13.88672,156.0278,2.919998
2,6.786562,4.978301,-31.61109,2.939998,36.27686,-13.49121,156.0938,2.939998
2,6.641455,4.699248,-31.17577,2.959998,35.61768,-13.18359,156.0278,2.959998
2,6.496347,4.409033,-30.77394,2.979998,34.84863,-12.91992,155.918,2.979998
2,6.29543,3.962549,-30.18234,2.999998,33.44238,-12.32666,155.8301,2.999998
2,6.261943,3.884414,-30.07072,3.019998,33.11279,-12.15088,155.8521,3.019998
2,6.183809,3.616524,-29.76935,3.039998,32.25586,-11.64551,155.9399,3.039998
2,6.13916,3.326308,-29.49029,3.059998,31.46484,-11.14014,156.0498,3.059998
2,6.094512,3.058418,-29.24473,3.079998,30.76172,-10.72266,156.1597,3.079998
2,6.038701,2.824014,-28.99916,3.099998,30.14648,-10.39307,156.2695,3.099998
2,5.971728,2.634258,-28.78708,3.119998,29.64111,-10.10742,156.3354,3.119998
2,5.882432,2.500313,-28.575,3.139998,29.22363,-9.84375,156.3135,3.139998
2,5.759648,2.377529,-28.32943,3.159998,28.76221,-9.51416,156.2476,3.159998
2,5.659189,2.299395,-28.15084,3.179998,28.49854,-9.272461,156.1597,3.179998
