SId,X,Y,Z,PT,A,B,G,OT
2,3.125391,16.94408,-20.67223,1.499999,-23.26904,-49.37256,137.1313,1.499999
2,3.125391,16.94408,-20.67223,1.519999,-23.26904,-49.37256,137.1313,1.519999
2,3.125391,16.94408,-20.67223,1.539999,-23.26904,-49.37256,137.1313,1.539999
2,3.125391,16.94408,-20.67223,1.559999,-23.26904,-49.37256,137.1313,1.559999
2,3.22585,16.44179,-20.34853,1.579999,-23.99414,-48.5376,136.6479,1.579999
2,3.270498,16.12925,-20.14761,1.599999,-24.45557,-47.98828,136.3403,1.599999
2,3.315146,15.6716,-19.86856,1.619999,-25.09277,-46.99951,135.6592,1.619999
2,3.337471,15.22512,-19.64531,1.639999,-25.70801,-45.85693,134.7803,1.639999
2,3.315146,14.76747,-19.4444,1.659999,-26.38916,-44.67041,133.7256,1.659999
2,3.270498,14.30982,-19.27696,1.679999,-27.18018,-43.5498,132.6489,1.679999
2,3.214688,13.82985,-19.09837,1.699999,-28.08105,-42.62695,131.6602,1.699999
2,3.147715,13.34988,-18.91978,1.719999,-29.04785,-41.83594,130.8472,1.719999
2,3.091904,12.85875,-18.73002,1.739999,-30.03662,-41.13281,130.2759,1.739999
2,3.047256,12.37878,-18.54026,1.759999,-31.11328,-40.38574,129.8584,1.759999
2,2.991445,11.59743,-18.2054,1.779999,-33.42041,-38.8916,129.397,1.779999
2,2.991445,11.43,-18.14959,1.799999,-33.81592,-38.62793,129.353,1.799999
2,2.957959,11.017,-17.98216,1.819999,-35.15625,-37.68311,129.0894,1.819999
2,2.913311,10.70446,-17.85938,1.839999,-36.16699,-36.69434,128.6279,1.839999
2,2.846338,10.48122,-17.78124,1.859999,-36.82617,-35.66162,127.9248,1.859999
2,2.757041,10.32495,-17.73659,1.879999,-37.19971,-34.65088,127.0459,1.879999
2,2.634258,10.20217,-17.72543,1.899999,-37.5293,-33.79395,126.145,1.899999
2,2.48915,10.05706,-17.72543,1.919999,-37.96875,-33.09082,125.2661,1.919999
2,2.344043,9.878467,-17.72543,1.939999,-38.58398,-32.5415,124.4751,1.939999
2,2.187773,9.666387,-17.71427,1.959999,-39.39697,-32.03613,123.7061,1.959999
2,2.042666,9.431982,-17.69194,1.979999,-40.27588,-31.53076,122.981,1.979999
2,1.897559,9.197578,-17.64729,1.999999,-41.13281,-31.02539,122.2998,1.999999
2,1.774775,8.974336,-17.59148,2.019999,-41.92383,-30.52002,121.7065,2.019999
2,1.663154,8.773418,-17.52451,2.039999,-42.62695,-30.01465,121.1792,2.039999
2,1.58502,8.583662,-17.44638,2.059999,-43.26416,-29.50928,120.7397,2.059999
2,1.518047,8.41623,-17.36824,2.079999,-43.7915,-29.06982,120.3882,2.079999
2,1.473398,8.259961,-17.27895,2.099999,-44.29688,-28.74023,120.1025,2.099999
2,1.451074,8.114854,-17.18965,2.119999,-44.78027,-28.52051,119.8828,2.119999
2,1.42875,7.969746,-17.12267,2.139999,-45.28564,-28.38867,119.6411,2.139999
2,1.417588,7.835801,-17.07803,2.159999,-45.83496,-28.23486,119.3555,2.159999
2,1.42875,7.713017,-17.03338,2.179999,-46.42822,-28.05908,119.0259,2.179999
2,1.439912,7.601397,-17.01105,2.199999,-46.99951,-27.8833,118.7183,2.199999
2,1.462236,7.500937,-16.97757,2.219999,-47.54883,-27.77344,118.4766,2.219999
2,1.506885,7.411641,-16.94408,2.239999,-48.0542,-27.79541,118.2349,2.239999
2,1.518047,7.400478,-16.93292,2.259999,-48.20801,-27.79541,118.1689,2.259999
2,1.540371,7.411641,-16.91059,2.279999,-48.27393,-27.90527,118.103,2.279999
2,1.540371,7.433965,-16.88827,2.299999,-48.18604,-28.05908,118.0591,2.299999
2,1.540371,7.467451,-16.87711,2.319999,-48.12012,-28.16895,118.0151,2.319999
2,1.529209,7.478613,-16.88827,2.339998,-48.09814,-28.16895,117.8833,2.339998
2,1.518047,7.467451,-16.89943,2.359998,-48.12012,-28.10303,117.7295,2.359998
2,1.495723,7.445127,-16.91059,2.379998,-48.16406,-28.01514,117.5098,2.379998
2,1.439912,7.366992,-16.94408,2.399998,-48.27393,-27.79541,117.1143,2.399998
2,1.372939,7.199561,-16.96641,2.419998,-48.51563,-27.55371,116.6748,2.419998
2,1.305967,7.032129,-16.96641,2.439998,-48.75732,-27.46582,116.4551,2.439998
2,1.238994,6.864697,-16.96641,2.459998,-48.97705,-27.35596,116.2793,2.459998
2,1.183184,6.71959,-16.95524,2.479998,-49.08691,-27.22412,116.1255,2.479998
2,1.127373,6.607969,-16.93292,2.499998,-49.10889,-27.07031,116.0156,2.499998
2,1.071563,6.529834,-16.92176,2.519998,-49.06494,-26.96045,115.9497,2.519998
2,1.00459,6.440537,-16.92176,2.539998,-49.04297,-26.7627,115.8179,2.539998
2,0.9934278,6.418213,-16.92176,2.559998,-49.04297,-26.78467,115.8179,2.559998
2,0.9599414,6.384727,-16.95524,2.579998,-49.10889,-26.69678,115.708,2.579998
2,0.9264551,6.362402,-16.97757,2.599998,-49.21875,-26.63086,115.5981,2.599998
2,0.9041309,6.362402,-16.99989,2.619998,-49.28467,-26.63086,115.5762,2.619998
2,0.8818066,6.362402,-17.02222,2.639998,-49.30664,-26.65283,115.5762,2.639998
2,0.8594824,6.373564,-17.02222,2.659998,-49.32861,-26.71875,115.5981,2.659998
2,0.8594824,6.384727,-17.02222,2.679998,-49.35059,-26.7627,115.6421,2.679998
2,0.8483203,6.384727,-17.02222,2.699998,-49.39453,-26.82861,115.686,2.699998
2,0.8483203,6.395889,-17.02222,2.719998,-49.4165,-26.87256,115.708,2.719998
2,0.8371582,6.395889,-17.01105,2.739998,-49.46045,-26.9165,115.752,2.739998
2,0.8371582,6.395889,-16.98873,2.759998,-49.50439,-26.98242,115.8398,2.759998
2,0.814834,6.395889,-16.91059,2.779998,-49.63623,-27.07031,116.0156,2.779998
2,0.7925098,6.373564,-16.83246,2.799998,-49.79004,-27.04834,116.1914,2.799998
2,0.7701855,6.340078,-16.78781,2.819998,-49.94385,-26.96045,116.2134,2.819998
2,0.7366992,6.317754,-16.74316,2.839998,-50.09766,-26.87256,116.2354,2.839998
2,0.7032129,6.306592,-16.70968,2.859998,-50.18555,-26.87256,116.2793,2.859998
2,0.6585644,6.317754,-16.68735,2.879998,-50.22949,-26.9165,116.3672,2.879998
2,0.6250781,6.317754,-16.66503,2.899998,-50.29541,-26.96045,116.4551,2.899998
2,0.5804297,6.328916,-16.63154,2.919998,-50.36133,-26.96045,116.521,2.919998
2,0.5469434,6.328916,-16.59806,2.939998,-50.51514,-26.93848,116.5869,2.939998
2,0.5134571,6.29543,-16.55341,2.959998,-50.73486,-26.98242,116.7188,2.959998
2,0.5022949,6.239619,-16.47527,2.979998,-51.02051,-27.20215,117.0264,2.979998
2,0.5134571,6.127998,-16.35249,2.999998,-51.37207,-27.57568,117.6636,2.999998
2,0.5022949,6.061026,-16.30784,3.019998,-51.45996,-27.70752,117.9932,3.019998
2,0.5022949,6.005215,-16.24087,3.039998,-51.56982,-27.59766,118.147,3.039998
2,0.5022949,5.960567,-16.21854,3.059998,-51.5918,-27.24609,117.9932,3.059998
2,0.4911328,5.938242,-16.20738,3.079998,-51.5918,-26.82861,117.7295,3.079998
2,0.4911328,5.938242,-16.20738,3.099998,-51.5918,-26.38916,117.4219,3.099998
2,0.4799707,5.92708,-16.21854,3.119998,-51.63574,-25.97168,117.1802,3.119998
2,0.4799707,5.92708,-16.21854,3.139998,-51.67969,-25.72998,116.9824,3.139998
2,0.4799707,5.92708,-16.22971,3.159998,-51.72363,-25.64209,116.8506,3.159998
2,0.4688086,5.938242,-16.24087,3.179998,-51.76758,-25.66406,116.7847,3.179998
2,0.4576465,5.938242,-16.25203,3.199998,-51.78955,-25.72998,116.7407,3.199998
2,0.4576465,5.938242,-16.26319,3.219998,-51.8335,-25.86182,116.7188,3.219998
2,0.4353223,5.938242,-16.29668,3.239998,-51.94336,-26.19141,116.6748,3.239998
2,0.4241602,5.92708,-16.319,3.259998,-52.09717,-26.56494,116.5649,3.259998
2,0.4353223,5.92708,-16.33017,3.279998,-52.18506,-26.69678,116.4771,3.279998
2,0.4688086,5.92708,-16.33017,3.299998,-52.31689,-26.7627,116.3672,3.299998
2,0.4799707,5.92708,-16.34133,3.319998,-52.33887,-26.7627,116.3452,3.319998
2,0.5022949,5.92708,-16.34133,3.339998,-52.40479,-26.78467,116.3013,3.339998
2,0.5246192,5.938242,-16.34133,3.359998,-52.49268,-26.80664,116.2793,3.359998
2,0.5692676,5.949404,-16.36365,3.379997,-52.62451,-26.82861,116.2134,3.379997
2,0.6474023,5.949404,-16.39714,3.399997,-52.73438,-26.89453,116.1475,3.399997
2,0.7255371,5.949404,-16.44179,3.419997,-52.75635,-26.98242,116.1475,3.419997
2,0.7701855,5.960567,-16.47527,3.439997,-52.73438,-27.09229,116.1694,3.439997
2,0.8036719,5.960567,-16.50876,3.459997,-52.69043,-27.1582,116.1694,3.459997
2,0.8594824,5.960567,-16.54225,3.479997,-52.64648,-27.31201,116.2134,3.479997
2,0.9264551,5.949404,-16.58689,3.499997,-52.62451,-27.42188,116.2793,3.499997
2,1.00459,5.960567,-16.63154,3.519997,-52.64648,-27.50977,116.3452,3.519997
2,1.082725,5.960567,-16.67619,3.539997,-52.7124,-27.48779,116.3892,3.539997
2,1.172022,5.960567,-16.732,3.559997,-52.80029,-27.44385,116.4111,3.559997
2,1.261318,5.960567,-16.77665,3.579997,-52.88818,-27.35596,116.3892,3.579997
2,1.417588,5.960567,-16.86595,3.599997,-53.06396,-27.11426,116.3452,3.599997
2,1.451074,5.960567,-16.88827,3.619997,-53.08594,-27.07031,116.3452,3.619997
2,1.540371,5.960567,-16.94408,3.639997,-53.21777,-26.87256,116.2793,3.639997
2,1.618506,5.949404,-17.01105,3.659997,-53.30566,-26.74072,116.2134,3.659997
2,1.685479,5.949404,-17.07803,3.679997,-53.37158,-26.74072,116.1694,3.679997
2,1.752451,5.938242,-17.145,3.699997,-53.37158,-26.82861,116.1694,3.699997
2,1.7971,5.92708,-17.20081,3.719997,-53.34961,-27.02637,116.2134,3.719997
2,1.841748,5.915918,-17.25662,3.739997,-53.32764,-27.24609,116.2793,3.739997
2,1.908721,5.915918,-17.33475,3.759997,-53.32764,-27.46582,116.3452,3.759997
2,1.942207,5.904756,-17.35708,3.779997,-53.32764,-27.50977,116.3232,3.779997
2,1.998018,5.904756,-17.40173,3.799997,-53.39355,-27.50977,116.3232,3.799997
2,2.042666,5.904756,-17.44638,3.819997,-53.45947,-27.46582,116.3232,3.819997
2,2.098477,5.904756,-17.49103,3.839997,-53.54736,-27.42188,116.3232,3.839997
2,2.143125,5.904756,-17.52451,3.859997,-53.63525,-27.3999,116.3452,3.859997
2,2.176611,5.904756,-17.56916,3.879997,-53.70117,-27.3999,116.3892,3.879997
2,2.22126,5.893594,-17.60265,3.899997,-53.74512,-27.3999,116.3892,3.899997
2,2.27707,5.893594,-17.65846,3.919997,-53.76709,-27.3999,116.3672,3.919997
2,2.321719,5.882432,-17.69194,3.939997,-53.78906,-27.37793,116.3452,3.939997
2,2.355205,5.882432,-17.72543,3.959997,-53.81104,-27.35596,116.3232,3.959997
2,2.399853,5.87127,-17.75892,3.979997,-53.78906,-27.33398,116.3013,3.979997
2,2.444502,5.87127,-17.80356,3.999997,-53.76709,-27.29004,116.3013,3.999997
2,2.500313,5.87127,-17.83705,4.019997,-53.74512,-27.24609,116.2793,4.019997
2,2.544961,5.860107,-17.89286,4.039997,-53.72314,-27.20215,116.2793,4.039997
2,2.611934,5.860107,-17.971,4.059997,-53.72314,-27.18018,116.2793,4.059997
2,2.634258,5.848945,-17.98216,4.079997,-53.72314,-27.18018,116.2793,4.079997
2,2.678906,5.848945,-18.04913,4.099997,-53.72314,-27.18018,116.3013,4.099997
2,2.745879,5.826621,-18.10494,4.119997,-53.76709,-27.18018,116.3232,4.119997
2,2.801689,5.815459,-18.17191,4.139997,-53.78906,-27.13623,116.3013,4.139997
2,2.8575,5.804297,-18.22772,4.159997,-53.81104,-27.07031,116.2354,4.159997
2,2.924473,5.781973,-18.2947,4.179997,-53.83301,-26.98242,116.1255,4.179997
2,2.980283,5.759648,-18.35051,4.199997,-53.85498,-26.93848,116.0596,4.199997
2,3.047256,5.726162,-18.4398,4.219997,-53.94287,-26.9165,115.9717,4.219997
2,3.091904,5.715,-18.48445,4.239997,-53.98682,-26.87256,115.9277,4.239997
2,3.147715,5.692676,-18.54026,4.259997,-54.11865,-26.82861,115.8618,4.259997
2,3.203525,5.670352,-18.60724,4.279997,-54.25049,-26.74072,115.7739,4.279997
2,3.270498,5.648027,-18.67421,4.299997,-54.38232,-26.71875,115.686,4.299997
2,3.326308,5.614541,-18.73002,4.319997,-54.49219,-26.71875,115.6201,4.319997
2,3.382119,5.581055,-18.77467,4.339997,-54.60205,-26.7627,115.6201,4.339997
2,3.426768,5.547568,-18.83048,4.359997,-54.66797,-26.80664,115.6421,4.359997
2,3.471416,5.525244,-18.86396,4.379997,-54.73389,-26.87256,115.6421,4.379997
2,3.516064,5.491758,-18.90861,4.399997,-54.77783,-26.93848,115.6201,4.399997
2,3.560713,5.469434,-18.95326,4.419997,-54.7998,-27.00439,115.5981,4.419997
2,3.605361,5.447109,-18.98675,4.439997,-54.84375,-27.07031,115.5981,4.439997
2,3.65001,5.413623,-19.0314,4.459997,-54.86572,-27.1582,115.5762,4.459997
2,3.694658,5.391299,-19.06488,4.479997,-54.8877,-27.22412,115.5542,4.479997
2,3.739307,5.368975,-19.10953,4.499997,-54.93164,-27.26807,115.5103,4.499997
2,3.806279,5.324326,-19.1765,4.519997,-55.01953,-27.35596,115.4883,4.519997
2,3.828604,5.313164,-19.19883,4.539997,-55.0415,-27.37793,115.4663,4.539997
2,3.873252,5.29084,-19.24348,4.559997,-55.10742,-27.42188,115.4663,4.559997
2,3.9179,5.257353,-19.28812,4.579997,-55.19531,-27.46582,115.4443,4.579997
2,3.962549,5.223867,-19.34394,4.599997,-55.26123,-27.50977,115.4443,4.599997
2,4.018359,5.190381,-19.38858,4.619997,-55.37109,-27.55371,115.4663,4.619997
2,4.07417,5.156895,-19.4444,4.639997,-55.48096,-27.59766,115.5103,4.639997
2,4.141142,5.123408,-19.50021,4.659997,-55.61279,-27.59766,115.5322,4.659997
2,4.196953,5.089922,-19.56718,4.679996,-55.7666,-27.55371,115.5322,4.679996
2,4.263926,5.045273,-19.62299,4.699996,-55.96436,-27.48779,115.5103,4.699996
2,4.330898,5.000625,-19.6788,4.719996,-56.14014,-27.37793,115.4883,4.719996
2,4.420195,4.933652,-19.7681,4.739996,-56.42578,-27.22412,115.4443,4.739996
2,4.476006,4.877842,-19.84623,4.759996,-56.62354,-27.09229,115.4224,4.759996
2,4.520654,4.810869,-19.92437,4.779996,-56.84326,-26.96045,115.3784,4.779996
2,4.576465,4.732734,-19.99134,4.799996,-57.04102,-26.82861,115.3125,4.799996
2,4.632276,4.632276,-20.0918,4.819996,-57.28271,-26.65283,115.1807,4.819996
2,4.665762,4.576465,-20.13645,4.839996,-57.41455,-26.521,115.0928,4.839996
2,4.699248,4.49833,-20.20342,4.859996,-57.59033,-26.38916,114.9609,4.859996
2,4.732734,4.409033,-20.28155,4.879996,-57.81006,-26.25732,114.8291,4.879996
2,4.766221,4.308574,-20.35969,4.899996,-58.07373,-26.12549,114.7192,4.899996
2,4.788545,4.185791,-20.44898,4.919996,-58.38135,-25.92773,114.5654,4.919996
2,4.810869,4.063008,-20.52712,4.939996,-58.71094,-25.66406,114.3457,4.939996
2,4.833193,3.940225,-20.61642,4.959996,-59.04053,-25.3125,114.0601,4.959996
2,4.844356,3.817441,-20.68339,4.979996,-59.32617,-24.89502,113.7305,4.979996
2,4.86668,3.70582,-20.7392,4.999996,-59.52393,-24.47754,113.4229,4.999996
2,4.86668,3.605361,-20.78385,5.019996,-59.67773,-24.14795,113.1812,5.019996
2,4.877842,3.516064,-20.8285,5.039996,-59.7876,-23.92822,113.0273,5.039996
2,4.877842,3.426768,-20.87314,5.059996,-59.89746,-23.88428,112.9834,5.059996
2,4.877842,3.326308,-20.92896,5.079996,-60.05127,-23.97217,112.9834,5.079996
2,4.877842,3.214688,-20.98477,5.099996,-60.22705,-24.08203,112.9614,5.099996
2,4.86668,3.002607,-21.09639,5.119996,-60.62256,-24.14795,112.7637,5.119996
2,4.86668,2.946797,-21.11871,5.139996,-60.68848,-24.14795,112.7417,5.139996
2,4.855517,2.824014,-21.16336,5.159996,-60.88623,-24.08203,112.5659,5.159996
2,4.855517,2.712393,-21.20801,5.179996,-61.04004,-23.97217,112.4341,5.179996
2,4.844356,2.623096,-21.25266,5.199996,-61.12793,-23.90625,112.3242,5.199996
2,4.833193,2.544961,-21.28614,5.219996,-61.19385,-23.8623,112.2583,5.219996
2,4.822031,2.466826,-21.30847,5.239996,-61.23779,-23.79639,112.2363,5.239996
2,4.799707,2.411016,-21.34195,5.259996,-61.30371,-23.75244,112.1924,5.259996
2,4.766221,2.321719,-21.37544,5.279996,-61.41357,-23.64258,112.1045,5.279996
2,4.743896,2.265908,-21.40893,5.299996,-61.47949,-23.59863,112.0386,5.299996
2,4.699248,2.176611,-21.44241,5.319996,-61.6333,-23.53271,111.8848,5.319996
2,4.6546,2.06499,-21.48706,5.339996,-61.83105,-23.42285,111.665,5.339996
2,4.598789,1.953369,-21.52055,5.359996,-62.05078,-23.26904,111.4233,5.359996
2,4.554141,1.841748,-21.55403,5.379996,-62.24854,-23.07129,111.1377,5.379996
2,4.509492,1.741289,-21.57636,5.399996,-62.40234,-22.89551,110.896,5.399996
2,4.476006,1.651992,-21.59868,5.419996,-62.55615,-22.76367,110.6982,5.419996
2,4.431357,1.540371,-21.63217,5.439996,-62.73193,-22.65381,110.5225,5.439996
2,4.397871,1.48456,-21.64333,5.459996,-62.79785,-22.58789,110.4346,5.459996
