SId,X,Y,Z,PT,A,B,G,OT
0,9.007822,6.429375,-28.40757,2.239999,3.691406,-120.6519,131.7041,2.239999
,9.007822,6.429375,-28.40757,2.239999,3.691406,-120.6519,131.7041,2.239999
,0.5469434,-6.005215,-25.28218,2.659998,-33.22266,-135.7471,114.1699,2.579998
,1.64083,-6.730752,-24.63478,2.919998,-44.05518,-151.1499,120.9595,2.899998
,1.026914,-6.864697,-24.31107,3.099998,-43.52783,-149.6558,120.9155,3.059998
,0.5581055,-7.77999,-24.0097,3.319998,-46.18652,-149.8096,118.8721,3.199998
,0.5469434,-7.869287,-23.89808,3.539997,-39.44092,-154.7314,124.2334,3.459997
,1.149697,-8.003232,-24.76872,3.959997,-39.08936,-154.9951,124.6289,3.479997
,0.100459,-7.880449,-25.00312,4.239997,-38.4082,-156.8408,128.4302,3.699997
,-0.4129981,-7.768828,-24.45618,4.419997,-39.35303,-157.7197,128.9355,3.799997
,-0.5357813,-7.679531,-23.64135,4.619997,-39.6167,-157.8955,129.0015,3.819997
,1.194346,-7.835801,-22.92697,4.979996,-40.95703,-158.8843,128.6719,3.979997
,2.187773,-8.14834,-25.09242,5.459996,-41.33057,-159.6973,128.2324,4.179997
,1.0604,-8.092529,-26.08585,5.659996,-41.11084,-158.5107,127.6392,4.299997
,0,-7.980908,-26.14166,5.819995,-40.29785,-156.3794,126.7603,4.459997
,-1.439912,-7.433965,-23.26184,6.419995,-40.23193,-156.1157,126.5845,4.479997
,2.020342,-7.713017,-22.034,6.939994,-39.70459,-152.688,126.2329,4.779996
,3.49374,-8.092529,-23.686,7.439994,-39.81445,-152.4902,126.4087,4.799996
,3.527226,-8.103691,-23.79762,7.459994,-39.83643,-152.7539,127.5513,4.919996
,3.616524,-8.237637,-25.29334,7.779994,-39.17725,-155.0391,130.4956,5.119996
,2.143125,-8.259961,-26.84487,8.079995,-39.00146,-158.0054,132.6489,5.299996
,-0.2455664,-8.047881,-27.16857,8.320001,-39.74854,-160.686,134.1211,5.579996
,-1.674316,-7.690693,-26.27561,8.580007,-39.72656,-160.3345,133.5938,5.619996
,-2.098477,-7.5121,-25.73982,8.680009,-38.78174,-159.873,132.0776,5.819995
,-2.768203,-7.121426,-24.59013,8.880013,-38.95752,-157.9614,130.4297,5.939995
,-3.158877,-6.831211,-22.9493,9.18002,-38.73779,-156.2915,129.1992,6.059995
,1.808262,-7.400478,-21.01825,9.740033,-38.67188,-154.9512,127.9468,6.199995
,4.955976,-8.293447,-24.83569,10.52005,-38.84766,-152.3364,127.1777,6.339995
,3.303984,-8.382744,-27.32484,10.90006,-42.89063,-148.9307,125.4858,6.659995
,-0.2232422,-8.170664,-28.05038,11.22007,-44.16504,-148.8208,128.2324,6.879994
,-2.466826,-7.556748,-26.8672,11.54007,-44.34082,-150.6445,130.0781,7.039994
,-3.370957,-6.898184,-25.86261,11.74008,-39.81445,-157.6758,138.9331,7.459994
,-4.185791,-6.038701,-23.00511,12.22009,-38.58398,-161.521,142.0972,7.679994
,,,,,-39.55078,-165.4541,144.7998,8.159997
,,,,,-39.06738,-165.4102,142.8662,8.3
,,,,,-39.57275,-162.8833,138.6694,8.560006
,,,,,-39.44092,-159.1479,133.4839,8.860013
,,,,,-39.30908,-156.0059,131.4185,9.020017
,,,,,-39.28711,-151.7651,128.0566,9.200021
,,,,,-42.69287,-147.7441,127.6611,9.420026
,,,,,-45.39551,-147.7441,130.2539,9.62003
,,,,,-45.41748,-151.5674,135.3516,9.820035
,,,,,-43.17627,-156.2256,140.7129,10.04004
,,,,,-41.63818,-158.1372,142.998,10.16004
,,,,,-37.08984,-163.0371,149.502,10.54005
,,,,,-35.81543,-165.6299,151.8311,10.96006
,,,,,-35.85938,-164.6631,148.1836,11.16007
,,,,,-36.67236,-162.8174,143.2617,11.40007
,,,,,-39.55078,-158.313,135.6372,11.74008
,,,,,-42.51709,-147.3486,127.2656,12.12009
,,,,,-42.58301,-146.8652,126.98,12.14009
,,,,,-42.82471,-145.2612,126.2329,12.22009
0,-4.196953,-6.049863,-22.88232,12.24009,-42.89063,-144.8877,126.0571,12.24009
